number	annpre_mean	coeff_var		
1937	25.00	14.00
1997	25.00	16.00
2013	25.00	25.00
2269	25.00	18.00
2411	25.00	38.00
2496	25.00	31.00
2923	25.00	36.00
3097	25.00	17.00
3173	25.00	33.00
3262	25.00	23.00
3344	25.00	4.00
3505	25.00	18.00
186	25.00	34.00
2097	25.00	19.00
2327	25.00	20.00
3421	25.00	26.00
3426	25.00	4.00
271	25.00	24.00
666	25.00	25.00
687	25.00	20.00
833	25.00	12.00
916	25.00	12.00
1583	25.00	31.00
2242	25.00	20.00
2263	25.00	21.00
2264	25.00	17.00
2325	25.00	29.00
2412	25.00	24.00
3170	25.00	28.00
3337	25.00	22.00
3339	25.00	27.00
690	25.00	22.00
940	25.00	21.00
2021	25.00	13.00
2181	25.00	17.00
2509	25.00	28.00
3256	25.00	36.00
3588	25.00	19.00
353	25.00	33.00
436	25.00	32.00
857	25.00	14.00
1251	25.00	23.00
1273	25.00	22.00
1417	25.00	27.00
1599	25.00	19.00
1666	25.00	24.00
1688	25.00	17.00
1749	25.00	14.00
1847	25.00	24.00
1915	25.00	15.00
2081	25.00	30.00
2164	25.00	30.00
2180	25.00	19.00
2243	25.00	22.00
2247	25.00	36.00
2330	25.00	22.00
2345	25.00	29.00
2413	25.00	31.00
2491	25.00	15.00
2518	25.00	22.00
2579	25.00	18.00
2601	25.00	20.00
2757	25.00	37.00
3006	25.00	36.00
3255	25.00	27.00
3671	25.00	9.00
3754	25.00	6.00
2104	25.00	12.00
3345	25.00	14.00
24	25.00	26.00
106	25.00	25.00
416	25.00	23.00
691	25.00	15.00
750	25.00	24.00
770	25.00	19.00
774	25.00	19.00
1023	25.00	21.00
1190	25.00	15.00
1440	25.00	15.00
1516	25.00	16.00
1584	25.00	20.00
1667	25.00	20.00
1832	25.00	14.00
1848	25.00	20.00
2427	25.00	27.00
2495	25.00	27.00
2591	25.00	40.00
2674	25.00	40.00
2840	25.00	34.00
3087	25.00	31.00
3342	25.00	13.00
3427	25.00	4.00
3504	25.00	17.00
3508	25.00	5.00
3509	25.00	0.00
3837	25.00	6.00
269	25.00	23.00
603	25.00	22.00
604	25.00	19.00
1084	25.00	19.00
2766	25.00	24.00
3004	25.00	29.00
3425	25.00	13.00
3591	25.00	4.00
583	25.00	25.00
667	25.00	25.00
1083	25.00	22.00
1335	25.00	20.00
1682	25.00	24.00
1765	25.00	24.00
1855	25.00	10.00
1938	25.00	13.00
1998	25.00	27.00
2082	25.00	36.00
2262	25.00	35.00
2574	25.00	15.00
3510	25.00	5.00
3673	25.00	13.00
3674	25.00	11.00
3920	25.00	17.00
354	25.00	28.00
1102	25.00	13.00
1418	25.00	22.00
1501	25.00	17.00
1523	25.00	20.00
1606	25.00	18.00
1750	25.00	16.00
2187	25.00	15.00
3838	25.00	12.00
25	25.00	20.00
437	25.00	28.00
834	25.00	15.00
1001	25.00	23.00
1168	25.00	18.00
1772	25.00	14.00
1929	25.00	27.00
2096	25.00	22.00
2165	25.00	29.00
2270	25.00	17.00
2326	25.00	25.00
2353	25.00	17.00
3089	25.00	39.00
3587	25.00	11.00
3589	25.00	28.00
3670	25.00	11.00
3753	25.00	9.00
3757	25.00	11.00
4003	25.00	16.00
4086	25.00	11.00
189	25.00	24.00
333	25.00	36.00
520	25.00	24.00
608	25.00	15.00
917	25.00	18.00
1267	25.00	21.00
1433	25.00	14.00
1999	25.00	33.00
2344	25.00	27.00
3257	25.00	28.00
3423	25.00	36.00
3836	25.00	12.00
3921	25.00	19.00
4002	25.00	18.00
107	25.00	33.00
519	25.00	35.00
853	25.00	18.00
918	25.00	23.00
1000	25.00	22.00
1019	25.00	15.00
1085	25.00	18.00
1107	25.00	15.00
1252	25.00	20.00
1350	25.00	14.00
1357	25.00	17.00
1681	25.00	33.00
1689	25.00	18.00
1764	25.00	32.00
2012	25.00	27.00
2248	25.00	33.00
2331	25.00	33.00
2494	25.00	38.00
2575	25.00	38.00
2578	25.00	35.00
2658	25.00	22.00
2662	25.00	24.00
2745	25.00	27.00
2839	25.00	42.00
3180	25.00	20.00
3253	25.00	27.00
3672	25.00	28.00
3756	25.00	20.00
3839	25.00	20.00
3840	25.00	17.00
3919	25.00	18.00
3922	25.00	29.00
4004	25.00	19.00
4005	25.00	28.00
4085	25.00	13.00
4087	25.00	4.00
4088	25.00	10.00
4171	25.00	10.00
12795	25.00	23.00
584	25.00	18.00
668	25.00	16.00
686	25.00	21.00
936	25.00	18.00
1846	25.00	32.00
2095	25.00	27.00
2414	25.00	32.00
2661	25.00	35.00
3340	25.00	28.00
3592	25.00	0.00
3923	25.00	20.00
4168	25.00	6.00
4169	25.00	11.00
19	25.00	27.00
108	25.00	12.00
352	25.00	30.00
605	25.00	16.00
751	25.00	16.00
835	25.00	32.00
1598	25.00	35.00
2179	25.00	35.00
2849	25.00	21.00
2921	25.00	29.00
3088	25.00	36.00
3172	25.00	33.00
3506	25.00	33.00
3755	25.00	15.00
4006	25.00	20.00
4089	25.00	13.00
4251	25.00	8.00
4252	25.00	5.00
4335	25.00	4.00
12712	25.00	18.00
12713	25.00	28.00
12796	25.00	26.00
250	25.00	23.00
1169	25.00	20.00
2410	25.00	23.00
2436	25.00	18.00
2932	25.00	21.00
1	35.00	23.00
2	35.00	7.00
3	35.00	12.00
12	35.00	23.00
13	35.00	23.00
14	35.00	31.00
15	35.00	25.00
16	35.00	27.00
17	35.00	29.00
18	35.00	30.00
26	35.00	16.00
27	35.00	24.00
84	35.00	27.00
85	35.00	7.00
86	35.00	9.00
96	35.00	23.00
97	35.00	21.00
98	35.00	22.00
99	35.00	23.00
100	35.00	20.00
101	35.00	30.00
102	35.00	33.00
109	35.00	19.00
110	35.00	19.00
167	35.00	27.00
168	35.00	7.00
169	35.00	15.00
170	35.00	19.00
179	35.00	24.00
180	35.00	32.00
181	35.00	22.00
182	35.00	22.00
183	35.00	20.00
184	35.00	27.00
185	35.00	30.00
190	35.00	33.00
191	35.00	26.00
192	35.00	19.00
193	35.00	25.00
251	35.00	25.00
252	35.00	15.00
253	35.00	9.00
254	35.00	13.00
255	35.00	14.00
256	35.00	33.00
262	35.00	28.00
263	35.00	22.00
264	35.00	27.00
265	35.00	34.00
266	35.00	32.00
