plots	anabasis	caragana	desert-shrub	haloxylon	mountain-shrub	mountain-steppe	steppe	salt
153	134.98	162.88	NA	106.27	NA	169.99	NA	193.16
154	135.24	163.15	NA	106.54	NA	170.32	NA	193.58
155	135.51	163.42	NA	106.8	NA	170.65	NA	194
156	135.77	163.69	NA	107.05	NA	170.97	NA	NA
157	136.03	163.96	NA	107.31	NA	171.29	NA	NA
158	136.29	164.23	NA	107.57	NA	171.61	NA	NA
159	136.54	164.49	NA	107.82	NA	171.93	NA	NA
160	136.8	164.76	NA	108.08	NA	172.25	NA	NA
161	137.05	165.02	NA	108.33	NA	172.56	NA	NA
162	137.3	165.28	NA	108.59	NA	172.88	NA	NA
163	137.55	165.54	NA	108.84	NA	173.19	NA	NA
164	137.8	165.8	NA	109.09	NA	173.5	NA	NA
165	138.05	166.06	NA	109.34	NA	173.81	NA	NA
166	138.29	166.32	NA	109.59	NA	174.15	NA	NA
167	138.54	166.57	NA	109.84	NA	174.43	NA	NA
168	138.78	166.83	NA	110.08	NA	174.73	NA	NA
169	139.02	167.08	NA	110.33	NA	175.04	NA	NA
170	139.26	167.33	NA	110.57	NA	175.34	NA	NA
171	139.5	167.58	NA	110.82	NA	175.64	NA	NA
172	139.74	167.86	NA	111.06	NA	175.94	NA	NA
173	139.97	168.08	NA	111.31	NA	176.24	NA	NA
174	140.21	168.33	NA	111.55	NA	176.53	NA	NA
175	140.44	168.58	NA	111.79	NA	176.83	NA	NA
176	140.67	168.83	NA	112.03	NA	177.12	NA	NA
177	140.9	169.07	NA	112.27	NA	177.42	NA	NA
178	141.13	169.32	NA	112.51	NA	177.71	NA	NA
179	141.36	169.56	NA	112.74	NA	178	NA	NA
180	141.58	169.8	NA	113	NA	NA	NA	NA
181	141.81	170.04	NA	113.22	NA	NA	NA	NA
182	142.03	170.28	NA	113.46	NA	NA	NA	NA
183	142.26	170.52	NA	113.69	NA	NA	NA	NA
184	142.48	170.76	NA	113.92	NA	NA	NA	NA
185	142.7	171	NA	114.16	NA	NA	NA	NA
186	142.92	NA	NA	114.39	NA	NA	NA	NA
187	143.13	NA	NA	114.62	NA	NA	NA	NA
188	143.35	NA	NA	114.85	NA	NA	NA	NA
189	143.57	NA	NA	115.08	NA	NA	NA	NA
190	143.78	NA	NA	115.31	NA	NA	NA	NA
191	143.99	NA	NA	115.54	NA	NA	NA	NA
192	144.21	NA	NA	115.77	NA	NA	NA	NA
193	144.42	NA	NA	116	NA	NA	NA	NA
194	144.63	NA	NA	NA	NA	NA	NA	NA
195	144.83	NA	NA	NA	NA	NA	NA	NA
196	145.04	NA	NA	NA	NA	NA	NA	NA
197	145.25	NA	NA	NA	NA	NA	NA	NA
198	145.45	NA	NA	NA	NA	NA	NA	NA
199	145.66	NA	NA	NA	NA	NA	NA	NA
200	145.86	NA	NA	NA	NA	NA	NA	NA
201	146.06	NA	NA	NA	NA	NA	NA	NA
202	146.27	NA	NA	NA	NA	NA	NA	NA
