RECNO	POINTNO	LON_EX	LAT_EX	ALT_EX	TMIN1	TMIN2	TMIN3	TMIN4	TMIN5	TMIN6	TMIN7	TMIN8	TMIN9	TMIN10	TMIN11	TMIN12	TMAX1	TMAX2	TMAX3	TMAX4	TMAX5	TMAX6	TMAX7	TMAX8	TMAX9	TMAX10	TMAX11	TMAX12	PREC1	PREC2	PREC3	PREC4	PREC5	PREC6	PREC7	PREC8	PREC9	PREC10	PREC11	PREC12	PRE	BIO1	BIO2	BIO3	BIO4	BIO5	BIO6	BIO7	BIO8	BIO9	BIO10	BIO11	BIO12	BIO13	BIO14	BIO15	BIO16	BIO17	BIO18	BIO19	ID
12	12	43.3640	41.5888	2035.0000	-13.0000	-12.6000	-8.3000	-3.5000	1.0000	3.3000	6.2000	6.1000	2.1000	-1.1000	-5.2000	-9.8000	-2.5000	-2.0000	1.8000	7.8000	12.9000	16.3000	19.6000	20.1000	16.8000	11.8000	5.0000	-0.4000	34	42	44	71	102	108	73	70	55	56	51	40	746	3.0167	11.8333	35.7503	766.1246	20.1000	-13.0000	33.1000	9.8833	-6.7167	11.9333	-6.7167	746.0000	108.0000	34.0000	38.1266	283.0000	116.0000	251.0000	116.0000	0
13	13	44.1483	40.6085	2431.0000	-14.4000	-13.7000	-9.4000	-3.9000	0.2000	3.0000	6.4000	6.4000	2.5000	-1.5000	-5.8000	-10.8000	-4.0000	-3.5000	-0.1000	6.4000	11.4000	15.9000	20.0000	20.5000	17.4000	11.4000	4.3000	-1.5000	23	30	39	63	99	86	54	47	34	46	36	25	582	2.3833	11.6000	33.2378	828.2164	20.5000	-14.4000	34.9000	5.5000	-7.9833	12.2000	-7.9833	582.0000	99.0000	23.0000	48.9782	248.0000	78.0000	135.0000	78.0000	0
14	14	46.2070	38.4518	2264.0000	-10.5000	-9.5000	-5.7000	-0.3000	3.6000	7.2000	11.4000	10.5000	6.8000	2.2000	-2.7000	-7.8000	-1.6000	-0.5000	3.9000	10.5000	16.1000	21.6000	25.0000	25.5000	22.0000	15.2000	7.0000	0.4000	23	27	49	65	70	33	14	13	13	34	29	26	396	6.2625	11.6583	32.3843	893.8073	25.5000	-10.5000	36.0000	4.6833	16.8667	16.8667	-4.9167	396.0000	70.0000	13.0000	57.8722	184.0000	40.0000	60.0000	76.0000	0
15	15	47.0893	39.6282	465.0000	-2.0000	-1.3000	1.6000	7.4000	11.8000	16.1000	19.1000	18.0000	14.9000	10.0000	4.7000	0.4000	5.4000	6.2000	9.9000	17.2000	21.3000	26.3000	29.4000	29.9000	24.5000	19.1000	12.5000	7.8000	22	27	37	50	69	53	22	22	28	43	32	26	431	12.9250	9.0667	28.4222	833.4744	29.9000	-2.0000	31.9000	16.6833	22.6333	23.1333	2.7500	431.0000	69.0000	22.0000	41.7458	172.0000	72.0000	97.0000	75.0000	0
16	16	48.1677	40.7065	713.0000	-3.5000	-2.7000	0.5000	6.1000	10.7000	14.8000	17.6000	16.8000	13.2000	8.0000	3.4000	-1.3000	4.1000	4.5000	8.5000	16.7000	21.0000	25.6000	29.3000	28.5000	24.1000	17.3000	11.1000	6.5000	35	42	60	63	70	65	31	28	41	67	43	38	583	11.7000	9.4667	28.8618	851.6214	29.3000	-3.5000	32.8000	15.8167	21.5833	22.1000	1.2667	583.0000	70.0000	28.0000	31.4429	198.0000	100.0000	124.0000	115.0000	0
17	17	48.1677	41.4908	830.0000	-5.0000	-4.2000	-0.6000	4.7000	9.8000	13.6000	16.6000	15.7000	12.0000	6.7000	2.3000	-2.2000	2.9000	2.8000	6.7000	14.4000	18.8000	23.3000	26.7000	25.8000	21.8000	15.3000	9.6000	5.3000	24	29	37	48	62	52	38	37	51	60	38	29	505	10.1167	8.6667	27.3396	832.5900	26.7000	-5.0000	31.7000	14.1000	-0.0667	20.2833	-0.0667	505.0000	62.0000	24.0000	29.4092	162.0000	82.0000	127.0000	82.0000	0
18	18	47.3834	38.4518	1329.0000	-5.4000	-4.6000	-1.8000	3.6000	7.7000	11.9000	15.1000	13.4000	11.4000	6.5000	1.8000	-2.6000	3.3000	4.1000	7.6000	14.6000	19.6000	25.0000	27.7000	31.4000	24.2000	19.6000	11.0000	5.7000	29	29	42	45	57	27	12	15	23	39	31	29	378	10.4500	11.4000	30.9783	852.2190	31.4000	-5.4000	36.8000	8.5500	20.5333	20.7500	0.0833	378.0000	57.0000	12.0000	40.1901	144.0000	50.0000	54.0000	87.0000	0
19	19	50.8146	34.4324	1337.0000	-4.2000	-2.2000	3.7000	8.2000	13.2000	17.9000	21.1000	19.7000	14.6000	10.4000	4.4000	0.3000	6.2000	9.3000	16.2000	22.0000	29.4000	34.5000	37.9000	36.9000	31.8000	25.4000	16.7000	11.0000	28	18	22	16	12	1	0	0	0	5	16	15	133	16.0167	14.1833	33.6896	988.7350	37.9000	-4.2000	42.1000	4.8333	27.0000	28.0000	3.4000	133.0000	28.0000	0.0000	87.0919	68.0000	0.0000	1.0000	61.0000	0
20	20	51.7949	36.2950	2391.0000	-10.4000	-7.8000	-3.8000	1.0000	6.8000	10.4000	13.4000	13.1000	8.3000	3.3000	-2.3000	-6.9000	0.3000	3.0000	8.0000	14.6000	21.8000	27.0000	29.8000	29.3000	25.1000	18.3000	9.8000	3.6000	25	27	34	37	26	7	5	3	2	8	13	19	206	8.9875	13.7917	34.3076	958.0784	29.8000	-10.4000	40.2000	2.5000	19.8333	20.5000	-3.0333	206.0000	37.0000	2.0000	72.4102	98.0000	10.0000	15.0000	71.0000	0
21	21	53.1674	36.2950	513.0000	2.3000	2.6000	3.5000	7.1000	15.0000	16.0000	19.4000	19.8000	15.5000	12.4000	7.2000	3.8000	12.0000	12.5000	13.6000	17.6000	26.2000	28.6000	30.3000	31.1000	27.0000	24.0000	18.5000	14.1000	67	56	58	55	27	18	16	19	34	48	60	70	528	15.8375	10.9083	37.8762	699.8283	31.1000	2.3000	28.8000	9.6500	24.2000	24.2000	7.7500	528.0000	70.0000	16.0000	45.5165	197.0000	53.0000	53.0000	181.0000	0
22	22	52.9713	28.1583	620.0000	7.4000	8.3000	11.1000	14.2000	19.1000	22.6000	25.8000	25.8000	23.0000	19.2000	13.9000	10.0000	18.1000	18.9000	23.1000	26.2000	32.5000	35.9000	38.0000	38.0000	35.9000	32.4000	26.5000	21.2000	51	46	17	14	0	0	0	0	0	3	17	39	187	22.7958	12.1917	39.8420	708.9924	38.0000	7.4000	30.6000	13.9833	28.9833	31.0833	13.9833	187.0000	51.0000	0.0000	123.9942	136.0000	0.0000	0.0000	136.0000	0
23	23	54.4418	40.1183	167.0000	-2.7000	-1.7000	2.9000	9.5000	15.7000	20.5000	23.8000	23.3000	17.2000	9.8000	4.2000	0.1000	5.5000	7.5000	13.3000	21.9000	29.1000	33.9000	36.9000	36.1000	30.4000	21.4000	13.9000	7.6000	10	12	20	18	15	4	6	2	3	10	14	14	128	15.8375	11.2417	28.3880	1071.9102	36.9000	-2.7000	39.6000	15.4000	27.9500	29.0833	2.7167	128.0000	20.0000	2.0000	55.4392	53.0000	11.0000	12.0000	36.0000	0
24	24	59.6376	38.3537	120.0000	-3.8000	-1.6000	3.4000	9.8000	15.1000	19.6000	22.3000	19.8000	14.5000	8.3000	3.0000	-0.2000	6.3000	9.0000	15.2000	23.2000	29.7000	35.3000	37.8000	36.1000	31.2000	23.5000	15.7000	9.0000	19	16	31	28	19	3	1	1	2	8	14	17	159	15.9250	13.4833	32.4119	1023.3224	37.8000	-3.8000	41.6000	16.0667	26.9500	28.4833	3.1167	159.0000	31.0000	1.0000	78.1762	78.0000	4.0000	5.0000	52.0000	0
25	25	60.2258	37.2754	192.0000	-3.1000	-1.5000	2.9000	8.6000	14.4000	18.4000	21.5000	19.2000	14.5000	9.0000	3.1000	0.0000	7.8000	9.3000	15.0000	22.2000	29.3000	34.4000	37.3000	35.8000	31.5000	24.8000	16.7000	10.2000	25	20	38	30	18	2	0	0	2	8	14	19	176	15.8875	13.9417	34.5091	973.5902	37.3000	-3.1000	40.4000	9.4167	27.7667	27.7667	3.7833	176.0000	38.0000	0.0000	85.7689	88.0000	2.0000	2.0000	64.0000	0
26	26	48.5598	47.1767	-18.0000	-11.1000	-11.0000	-5.1000	4.5000	11.6000	16.3000	18.6000	16.7000	10.7000	3.6000	-1.8000	-6.5000	-3.0000	-2.4000	4.3000	16.9000	24.5000	29.1000	31.6000	30.4000	24.0000	14.8000	5.8000	0.2000	14	11	14	17	20	22	19	19	18	18	18	17	207	9.2792	10.8083	25.3123	1206.5342	31.6000	-11.1000	42.7000	21.9500	-4.7167	23.7833	-5.6333	207.0000	22.0000	11.0000	17.3253	61.0000	39.0000	60.0000	42.0000	0
27	27	48.0329	55.4483	169.0000	-16.5000	-15.5000	-9.1000	0.6000	7.7000	12.0000	14.1000	12.1000	6.7000	0.3000	-6.7000	-12.7000	-9.5000	-8.3000	-1.9000	9.0000	18.6000	22.8000	24.5000	22.5000	15.7000	6.7000	-1.4000	-6.3000	32	25	23	38	39	69	71	60	57	52	44	35	545	3.5583	8.2833	20.2033	1207.4632	24.5000	-16.5000	41.0000	18.0000	-10.1333	18.0000	-11.4667	545.0000	71.0000	23.0000	35.7935	200.0000	80.0000	200.0000	92.0000	0
28	28	51.3415	53.6102	182.0000	-17.4000	-16.9000	-9.9000	0.9000	8.2000	12.6000	14.8000	12.8000	7.3000	0.4000	-6.6000	-13.0000	-10.0000	-8.8000	-2.1000	10.5000	20.3000	24.1000	25.8000	24.0000	17.5000	7.6000	-1.3000	-6.6000	44	31	30	36	33	63	64	45	49	55	51	47	548	3.9250	8.9833	20.7948	1282.1404	25.8000	-17.4000	43.2000	19.0167	-4.3833	19.0167	-12.1167	548.0000	64.0000	30.0000	25.4230	172.0000	97.0000	172.0000	122.0000	0
29	29	49.9445	52.3602	42.0000	-16.2000	-16.1000	-9.2000	2.1000	9.4000	13.9000	16.0000	14.2000	8.4000	1.4000	-5.4000	-11.5000	-8.8000	-8.0000	-1.5000	12.2000	21.8000	25.9000	27.5000	25.9000	19.3000	9.2000	0.1000	-5.3000	39	27	26	29	26	52	50	40	41	40	46	42	458	5.2208	9.2750	21.2243	1302.4600	27.5000	-16.2000	43.7000	20.5667	5.8000	20.5667	-10.9833	458.0000	52.0000	26.0000	24.0611	142.0000	81.0000	142.0000	108.0000	0
30	30	54.9442	51.9191	141.0000	-18.0000	-17.9000	-10.5000	1.1000	8.2000	12.9000	15.3000	13.0000	7.5000	0.3000	-6.6000	-13.6000	-9.8000	-8.7000	-1.7000	12.4000	22.1000	26.3000	28.4000	26.6000	20.2000	9.4000	0.0000	-6.1000	29	21	21	25	29	42	42	31	34	38	36	35	383	4.6167	10.6167	22.8807	1349.5830	28.4000	-18.0000	46.4000	20.4167	-4.2167	20.4167	-12.3500	383.0000	42.0000	21.0000	22.6511	115.0000	67.0000	115.0000	85.0000	0
