RECNO	POINTNO	LON_EX	LAT_EX	ALT_EX	TMIN1	TMIN2	TMIN3	TMIN4	TMIN5	TMIN6	TMIN7	TMIN8	TMIN9	TMIN10	TMIN11	TMIN12	TMAX1	TMAX2	TMAX3	TMAX4	TMAX5	TMAX6	TMAX7	TMAX8	TMAX9	TMAX10	TMAX11	TMAX12	PREC1	PREC2	PREC3	PREC4	PREC5	PREC6	PREC7	PREC8	PREC9	PREC10	PREC11	PREC12	PRE	BIO1	BIO2	BIO3	BIO4	BIO5	BIO6	BIO7	BIO8	BIO9	BIO10	BIO11	BIO12	BIO13	BIO14	BIO15	BIO16	BIO17	BIO18	BIO19	ID
41	41	75.8988	49.1251	1022.0000	-22.5000	-22.9000	-14.8000	-2.9000	4.5000	10.2000	12.7000	9.9000	3.9000	-3.3000	-11.7000	-18.5000	-13.9000	-13.3000	-5.9000	7.7000	16.4000	22.1000	24.3000	22.0000	16.3000	6.0000	-4.0000	-10.4000	12	12	13	23	41	37	50	32	24	27	19	14	304	0.4958	10.2250	21.6631	1384.8916	24.3000	-22.9000	47.2000	15.0333	-15.5500	16.8667	-16.9167	304.0000	50.0000	12.0000	49.3696	128.0000	37.0000	119.0000	38.0000	0
42	42	68.2522	39.7139	1769.0000	-8.9000	-7.3000	-2.2000	3.5000	7.1000	10.7000	12.8000	11.2000	6.2000	1.5000	-2.6000	-5.8000	0.1000	1.5000	6.6000	14.0000	19.3000	25.0000	28.1000	27.1000	22.3000	15.0000	7.7000	2.4000	71	67	107	112	84	16	9	3	7	47	46	67	636	8.1375	11.9083	32.1847	890.7865	28.1000	-8.9000	37.0000	8.0500	17.9500	19.1500	-3.0000	636.0000	112.0000	3.0000	72.1391	303.0000	19.0000	28.0000	205.0000	0
43	43	69.9433	41.8462	1930.0000	-13.4000	-11.8000	-5.9000	0.8000	5.0000	8.8000	11.0000	9.0000	3.9000	-1.4000	-6.2000	-10.1000	-4.8000	-3.1000	2.9000	11.6000	17.4000	23.0000	26.2000	25.0000	19.7000	11.4000	3.4000	-2.2000	69	63	103	114	100	33	21	11	15	64	67	75	735	5.0083	11.7333	29.6296	997.8314	26.2000	-13.4000	39.6000	5.3000	15.8000	17.1667	-7.5667	735.0000	114.0000	11.0000	56.9884	317.0000	47.0000	65.0000	207.0000	0
44	44	69.3551	39.0522	3112.0000	-16.9000	-14.8000	-9.3000	-3.2000	0.0000	3.3000	5.8000	4.7000	-0.1000	-4.2000	-8.6000	-12.3000	-7.4000	-6.6000	-1.9000	5.5000	10.4000	16.1000	20.1000	19.7000	14.9000	7.6000	0.3000	-4.8000	99	107	167	164	148	35	19	8	11	64	70	99	991	0.7625	10.7917	29.1667	891.1003	20.1000	-16.9000	37.0000	0.2500	10.8500	11.6167	-10.4667	991.0000	167.0000	8.0000	69.9115	479.0000	38.0000	62.0000	305.0000	0
45	45	68.9875	35.0819	2389.0000	-9.7000	-8.2000	-1.8000	3.1000	5.4000	10.7000	12.5000	11.8000	7.9000	2.6000	-2.1000	-6.4000	1.1000	1.1000	7.9000	12.8000	16.8000	23.4000	25.4000	24.8000	21.7000	15.6000	9.3000	3.1000	60	94	138	145	45	2	5	0	1	16	35	57	598	7.8667	11.4333	32.5736	845.5346	25.4000	-9.7000	35.1000	2.4833	17.3500	18.1000	-3.1667	598.0000	145.0000	0.0000	103.9007	377.0000	6.0000	7.0000	211.0000	0
46	46	73.0314	37.7288	3961.0000	-20.8000	-18.9000	-12.0000	-5.2000	-1.5000	2.3000	5.1000	5.1000	0.3000	-5.0000	-10.5000	-15.9000	-12.1000	-10.7000	-5.1000	2.8000	7.9000	13.5000	17.8000	17.8000	12.8000	5.8000	-1.9000	-8.6000	23	23	34	34	35	18	12	8	7	14	11	23	242	-1.5417	9.7500	25.2591	1000.9469	17.8000	-20.8000	38.6000	-2.1833	9.8167	10.2667	-14.5000	242.0000	35.0000	7.0000	50.5172	103.0000	27.0000	38.0000	69.0000	0
47	47	72.5167	39.7875	4454.0000	-26.7000	-24.7000	-17.7000	-10.3000	-6.5000	-3.2000	-0.3000	-0.8000	-5.7000	-10.7000	-16.1000	-21.5000	-17.7000	-16.7000	-11.2000	-2.3000	2.7000	8.0000	12.6000	12.6000	7.5000	-0.1000	-8.1000	-14.2000	63	64	104	93	112	62	45	23	23	58	65	75	787	-7.1292	9.7750	24.8728	1016.6466	12.6000	-26.7000	39.3000	-7.5500	4.3167	4.8167	-20.2500	787.0000	112.0000	23.0000	42.6366	309.0000	91.0000	130.0000	202.0000	0
48	48	71.5609	40.3021	621.0000	-4.8000	-2.7000	3.4000	9.8000	14.0000	17.5000	19.4000	17.3000	12.3000	6.9000	1.4000	-2.4000	2.9000	5.8000	13.1000	21.8000	27.3000	32.3000	34.4000	32.8000	28.2000	20.4000	11.5000	5.0000	25	28	32	27	25	10	5	1	3	23	20	23	222	13.6500	11.9500	30.4847	1010.1125	34.4000	-4.8000	39.2000	8.5333	24.0667	25.6167	0.6333	222.0000	32.0000	1.0000	58.1495	87.0000	9.0000	16.0000	76.0000	0
49	49	72.6637	40.7433	671.0000	-6.8000	-4.3000	2.4000	9.2000	13.8000	17.3000	18.7000	16.6000	11.5000	5.8000	0.2000	-3.8000	2.3000	5.3000	13.4000	22.0000	27.4000	32.4000	33.7000	32.0000	27.7000	20.4000	11.9000	4.6000	32	40	46	42	35	13	9	4	6	33	28	31	319	13.0708	12.7083	31.3786	1032.3263	33.7000	-6.8000	40.5000	8.0000	23.3667	25.1167	-0.4500	319.0000	46.0000	4.0000	55.3899	128.0000	19.0000	26.0000	103.0000	0
50	50	73.3255	41.4785	2866.0000	-20.5000	-18.5000	-11.0000	-3.3000	0.9000	4.1000	6.5000	5.4000	0.6000	-4.8000	-10.8000	-16.4000	-11.0000	-9.4000	-2.6000	6.8000	11.9000	16.8000	20.5000	19.9000	14.9000	7.1000	-1.5000	-8.1000	31	35	60	78	92	63	41	24	22	46	40	37	569	-0.1042	11.0917	27.0528	1058.9627	20.5000	-20.5000	41.0000	6.2000	11.3000	12.2000	-13.9833	569.0000	92.0000	22.0000	45.6279	233.0000	87.0000	128.0000	103.0000	0
51	51	76.5606	41.6991	2874.0000	-23.7000	-21.3000	-12.1000	-3.5000	1.0000	3.8000	6.3000	5.7000	1.4000	-4.5000	-12.2000	-19.8000	-13.3000	-11.1000	-3.2000	7.2000	12.0000	16.0000	19.5000	19.5000	14.7000	7.1000	-2.7000	-10.1000	5	7	14	21	41	51	42	33	20	13	8	6	261	-0.9708	11.2083	25.9452	1154.5374	19.5000	-23.7000	43.2000	9.7667	-16.5500	11.8000	-16.5500	261.0000	51.0000	5.0000	73.8533	134.0000	18.0000	126.0000	18.0000	0
52	52	76.9282	37.5082	2531.0000	-15.9000	-12.0000	-4.4000	2.5000	6.8000	10.5000	13.4000	12.6000	7.5000	0.3000	-6.6000	-12.8000	-4.8000	-0.9000	6.8000	14.9000	19.8000	24.4000	27.6000	26.8000	21.9000	14.8000	5.9000	-2.1000	1	1	3	3	8	4	5	6	3	1	0	1	36	6.5417	12.7667	29.3487	1099.9108	27.6000	-15.9000	43.5000	17.0833	-0.0833	19.2167	-8.0833	36.0000	8.0000	0.0000	80.4030	17.0000	2.0000	15.0000	3.0000	0
53	53	78.2516	35.1554	5428.0000	-28.2000	-25.9000	-20.3000	-14.0000	-9.9000	-5.3000	-1.0000	-1.3000	-6.3000	-13.6000	-19.9000	-24.9000	-16.6000	-14.8000	-9.9000	-3.2000	2.1000	7.7000	12.5000	12.2000	7.6000	0.0000	-6.8000	-12.6000	1	2	2	4	7	7	12	19	5	2	1	4	66	-8.0167	12.4000	30.4668	1001.1410	12.5000	-28.2000	40.7000	4.1333	-19.2833	4.1333	-20.5000	66.0000	19.0000	1.0000	96.6766	38.0000	5.0000	38.0000	7.0000	0
54	54	77.1488	34.2731	3569.0000	-15.7000	-13.7000	-7.9000	-1.8000	2.7000	6.5000	10.3000	9.7000	5.5000	-0.9000	-6.8000	-12.0000	-5.7000	-2.6000	2.8000	9.5000	15.4000	19.7000	23.5000	23.0000	19.4000	12.7000	5.8000	-1.0000	16	16	19	11	11	5	14	12	12	4	3	9	132	4.1000	12.2167	31.1650	972.0059	23.5000	-15.7000	39.2000	-7.1333	-0.3667	15.4500	-8.4500	132.0000	19.0000	3.0000	45.7018	51.0000	16.0000	31.0000	41.0000	0
55	55	78.4722	33.0967	5694.0000	-26.3000	-24.4000	-20.0000	-14.5000	-10.7000	-5.9000	-2.0000	-2.2000	-6.8000	-13.9000	-19.5000	-23.6000	-14.2000	-13.2000	-9.6000	-3.9000	1.2000	6.7000	10.3000	9.8000	6.0000	-0.8000	-6.1000	-10.5000	11	11	11	11	13	11	32	43	19	10	5	9	186	-8.0875	12.1250	33.1284	876.6676	10.3000	-26.3000	36.6000	2.5167	-12.4000	2.7833	-18.7000	186.0000	43.0000	5.0000	70.9677	94.0000	24.0000	86.0000	31.0000	0
56	56	67.8846	42.5814	198.0000	-6.3000	-4.4000	1.6000	8.7000	13.8000	17.9000	20.1000	17.6000	11.8000	4.8000	-0.3000	-3.8000	2.3000	5.2000	12.8000	21.8000	28.4000	34.0000	36.6000	34.8000	29.1000	20.3000	11.5000	4.7000	29	30	38	38	25	6	3	1	2	17	27	36	252	13.4583	13.3333	31.0800	1100.0348	36.6000	-6.3000	42.9000	7.6167	25.0000	26.8333	-0.3833	252.0000	38.0000	1.0000	69.2451	106.0000	6.0000	10.0000	95.0000	0
57	57	82.3690	40.9639	977.0000	-14.7000	-9.4000	0.0000	7.6000	13.2000	16.8000	18.3000	17.2000	11.6000	3.4000	-4.5000	-11.8000	0.1000	6.4000	15.7000	23.6000	29.0000	32.6000	33.7000	32.9000	28.4000	21.0000	10.1000	1.3000	1	1	2	2	5	10	11	8	4	3	1	1	49	11.7708	15.5917	32.2142	1221.3768	33.7000	-14.7000	48.4000	25.2500	-3.2500	25.2500	-4.6833	49.0000	11.0000	1.0000	89.5003	29.0000	3.0000	29.0000	3.0000	0
58	58	79.7221	49.1251	504.0000	-20.9000	-21.3000	-12.9000	-1.0000	5.9000	11.3000	13.7000	10.5000	4.5000	-1.7000	-9.9000	-17.2000	-11.6000	-10.6000	-2.7000	11.4000	20.1000	25.6000	27.8000	25.7000	20.0000	9.7000	-1.1000	-8.5000	18	16	16	21	34	28	42	22	19	29	27	22	294	2.7833	12.0667	24.5757	1395.5747	27.8000	-21.3000	49.1000	17.4000	-13.3333	19.1000	-15.0167	294.0000	42.0000	16.0000	32.0208	104.0000	50.0000	92.0000	56.0000	0
59	59	81.7073	48.3164	800.0000	-24.4000	-23.9000	-14.6000	-2.8000	4.4000	9.6000	12.1000	9.6000	3.6000	-3.5000	-12.7000	-20.3000	-14.1000	-12.6000	-4.3000	9.8000	18.7000	23.9000	26.3000	24.8000	19.1000	8.6000	-3.4000	-10.9000	29	26	20	28	41	33	43	22	22	35	42	37	378	0.9583	12.4000	24.4576	1451.0464	26.3000	-24.4000	50.7000	15.8333	-8.0667	17.7167	-17.7000	378.0000	43.0000	20.0000	26.0205	117.0000	74.0000	98.0000	92.0000	0
60	60	82.8837	47.8752	458.0000	-21.7000	-20.8000	-11.5000	0.0000	7.4000	12.5000	14.8000	12.7000	7.0000	-0.6000	-10.1000	-18.0000	-10.7000	-8.9000	-0.6000	13.1000	21.6000	26.7000	28.9000	27.6000	22.0000	11.6000	-0.5000	-8.1000	23	21	18	27	34	28	35	19	18	32	38	31	324	3.9333	12.5833	24.8682	1443.9723	28.9000	-21.7000	50.6000	-4.2833	-12.3667	20.5333	-14.7000	324.0000	38.0000	18.0000	26.2842	101.0000	62.0000	82.0000	75.0000	0
61	61	84.5748	47.1400	1167.0000	-21.6000	-20.4000	-12.0000	-1.4000	5.8000	11.2000	13.5000	11.8000	6.2000	-1.8000	-11.3000	-18.4000	-11.5000	-9.7000	-1.5000	11.0000	18.7000	23.7000	25.9000	24.7000	19.3000	9.7000	-1.7000	-9.0000	9	8	14	25	37	38	50	29	26	25	19	14	294	2.5500	11.5000	24.2105	1373.3833	25.9000	-21.6000	47.5000	16.4667	-12.7833	18.4667	-15.1000	294.0000	50.0000	8.0000	51.8486	125.0000	31.0000	117.0000	31.0000	0
62	62	84.3542	52.8749	207.0000	-19.4000	-19.9000	-12.6000	-2.2000	5.4000	11.4000	13.6000	10.8000	5.3000	-1.6000	-10.7000	-17.9000	-9.3000	-8.3000	-0.9000	9.4000	19.2000	24.8000	26.4000	23.4000	17.9000	7.9000	-2.2000	-8.5000	27	27	24	32	48	50	62	56	39	53	41	32	491	2.5833	11.4667	24.7660	1319.3685	26.4000	-19.9000	46.3000	18.4000	-11.7333	18.4000	-13.8833	491.0000	62.0000	24.0000	31.1498	168.0000	78.0000	168.0000	86.0000	0
63	63	84.7954	48.5369	1037.0000	-21.4000	-21.0000	-13.4000	-2.7000	4.7000	10.2000	12.5000	10.5000	5.0000	-2.4000	-11.9000	-18.8000	-11.6000	-10.2000	-3.0000	9.5000	17.8000	22.7000	24.8000	23.3000	18.0000	8.4000	-2.9000	-9.7000	13	13	14	29	47	39	49	34	35	36	28	19	356	1.6000	11.3167	24.4949	1346.1595	24.8000	-21.4000	46.2000	15.4500	-13.4333	17.3333	-15.4500	356.0000	49.0000	13.0000	42.7181	135.0000	40.0000	122.0000	45.0000	0
64	64	88.0305	48.3899	2073.0000	-24.2000	-22.8000	-16.1000	-6.0000	0.8000	6.0000	7.7000	6.2000	0.7000	-6.3000	-15.2000	-21.8000	-13.0000	-10.6000	-4.4000	5.8000	13.0000	18.3000	19.8000	18.6000	13.1000	4.3000	-5.2000	-11.4000	6	5	6	13	21	31	43	31	22	14	11	10	213	-1.7792	11.6083	26.3826	1227.7853	19.8000	-24.2000	44.0000	12.7667	-15.1833	12.7667	-17.3000	213.0000	43.0000	5.0000	67.9091	105.0000	17.0000	105.0000	21.0000	0
65	65	88.7657	47.5811	1039.0000	-23.8000	-22.3000	-12.6000	-0.3000	6.4000	11.5000	13.4000	11.6000	5.9000	-1.2000	-11.4000	-20.7000	-11.1000	-8.1000	0.2000	12.6000	20.4000	25.5000	26.9000	25.7000	20.0000	10.9000	-0.4000	-9.1000	7	6	7	11	15	18	26	16	15	12	13	12	158	2.9167	13.0833	25.8054	1424.9152	26.9000	-23.8000	50.7000	19.1000	-12.9500	19.1000	-15.8500	158.0000	26.0000	6.0000	42.0796	60.0000	20.0000	60.0000	25.0000	0
66	66	89.9421	48.5369	2332.0000	-25.7000	-23.7000	-16.5000	-7.3000	0.3000	5.8000	7.5000	5.7000	-0.2000	-7.6000	-16.8000	-23.4000	-13.4000	-9.6000	-2.3000	6.0000	12.9000	18.3000	19.4000	18.1000	12.3000	3.9000	-5.4000	-12.0000	1	0	2	6	12	26	35	23	14	6	2	2	129	-2.2375	12.5083	27.7347	1234.3311	19.4000	-25.7000	45.1000	12.4667	-15.2000	12.4667	-17.9667	129.0000	35.0000	0.0000	107.4720	84.0000	3.0000	84.0000	3.0000	0
67	67	91.8538	47.2135	2347.0000	-29.6000	-26.6000	-16.1000	-5.9000	1.3000	7.6000	9.0000	6.9000	0.6000	-7.5000	-18.1000	-26.7000	-15.5000	-11.8000	-1.7000	7.7000	14.8000	20.4000	21.1000	19.9000	14.1000	5.5000	-5.0000	-13.5000	2	1	3	9	14	25	39	29	14	6	4	2	148	-2.0458	13.4250	26.4793	1403.3199	21.1000	-29.6000	50.7000	14.1500	-20.6167	14.1500	-20.6167	148.0000	39.0000	1.0000	100.9353	93.0000	5.0000	93.0000	5.0000	0
68	68	92.5890	48.7575	1261.0000	-33.2000	-30.3000	-18.6000	-4.6000	4.1000	10.3000	12.4000	10.1000	3.5000	-5.1000	-16.8000	-28.7000	-20.7000	-16.3000	-3.8000	9.2000	19.0000	24.4000	25.0000	23.5000	17.7000	8.1000	-4.4000	-17.2000	1	0	2	5	7	21	37	24	11	4	3	2	117	-1.3500	13.4500	23.1100	1705.0940	25.0000	-33.2000	58.2000	17.6167	-20.4833	17.6167	-24.4000	117.0000	37.0000	0.0000	118.7366	82.0000	3.0000	82.0000	3.0000	0
69	69	91.9273	49.4928	1843.0000	-32.5000	-30.5000	-20.8000	-8.5000	0.1000	6.5000	8.5000	6.2000	-0.4000	-8.4000	-18.5000	-29.0000	-20.4000	-16.8000	-6.0000	4.9000	14.4000	19.9000	20.5000	18.9000	13.0000	3.9000	-6.9000	-17.9000	2	1	4	8	10	32	53	35	18	6	4	3	176	-4.1583	12.9000	24.3396	1532.8892	20.5000	-32.5000	53.0000	13.4167	-24.5167	13.4167	-24.5167	176.0000	53.0000	1.0000	113.4710	120.0000	6.0000	120.0000	6.0000	0
70	70	94.1330	50.6692	858.0000	-35.4000	-34.3000	-23.7000	-6.4000	3.0000	8.8000	11.6000	9.3000	3.0000	-5.6000	-18.3000	-30.4000	-24.1000	-21.1000	-9.4000	6.5000	18.6000	24.1000	25.0000	23.2000	17.3000	7.0000	-6.5000	-19.8000	8	6	10	21	26	43	69	52	34	21	17	12	319	-3.2333	13.2667	21.9647	1827.6367	25.0000	-35.4000	60.4000	17.0000	-24.6667	17.0000	-27.5167	319.0000	69.0000	6.0000	73.3382	164.0000	24.0000	164.0000	26.0000	0
71	71	95.3830	50.3751	1464.0000	-37.5000	-36.5000	-26.5000	-9.8000	-0.6000	5.1000	7.9000	5.8000	-0.8000	-9.2000	-22.7000	-33.4000	-25.6000	-22.4000	-10.9000	3.7000	15.2000	20.9000	21.7000	20.1000	14.3000	4.2000	-9.3000	-21.4000	6	5	8	18	22	43	72	56	31	17	12	10	300	-6.1542	14.0583	23.7472	1767.0770	21.7000	-37.5000	59.2000	13.5833	-26.5667	13.5833	-29.4667	300.0000	72.0000	5.0000	86.0951	171.0000	19.0000	171.0000	21.0000	0
72	72	93.9125	48.3164	1352.0000	-33.2000	-29.8000	-17.9000	-4.2000	4.1000	10.6000	12.6000	10.4000	3.8000	-5.0000	-17.8000	-29.4000	-20.3000	-15.7000	-3.3000	9.3000	19.0000	24.9000	25.5000	23.9000	18.0000	8.2000	-4.9000	-17.4000	1	0	2	5	7	19	32	25	11	5	3	2	112	-1.1917	13.5833	23.1403	1715.7530	25.5000	-33.2000	58.7000	17.9833	-20.0333	17.9833	-24.3000	112.0000	32.0000	0.0000	112.0313	76.0000	3.0000	76.0000	3.0000	0
73	73	95.2359	48.4634	1599.0000	-33.5000	-30.7000	-20.0000	-6.6000	1.6000	7.9000	10.2000	8.0000	1.2000	-7.3000	-20.2000	-30.4000	-20.7000	-16.4000	-4.8000	7.0000	16.8000	22.7000	23.4000	21.7000	15.7000	6.2000	-6.6000	-18.1000	2	1	3	6	8	24	43	36	15	7	4	3	152	-3.0375	13.8917	24.4142	1649.4946	23.4000	-33.5000	56.9000	15.6500	-21.0167	15.6500	-24.9667	152.0000	43.0000	1.0000	111.8681	103.0000	6.0000	103.0000	6.0000	0
74	74	95.1624	47.7282	1638.0000	-30.9000	-27.0000	-16.1000	-4.8000	2.7000	9.3000	11.3000	9.0000	2.1000	-6.3000	-18.4000	-28.3000	-17.7000	-12.7000	-1.2000	8.8000	17.3000	23.6000	24.2000	22.3000	16.2000	7.0000	-5.0000	-15.8000	1	0	2	4	4	19	33	31	10	5	2	2	113	-1.2667	13.7000	24.8639	1561.3533	24.2000	-30.9000	55.1000	16.6167	-17.6000	16.6167	-22.0667	113.0000	33.0000	0.0000	124.7060	83.0000	3.0000	83.0000	3.0000	0
75	75	96.1182	47.0664	1504.0000	-26.9000	-23.9000	-14.3000	-3.9000	3.6000	9.4000	11.6000	9.6000	3.0000	-5.2000	-16.4000	-24.1000	-13.0000	-9.0000	0.6000	10.2000	18.4000	23.7000	24.6000	22.9000	17.1000	8.4000	-2.8000	-11.1000	1	1	3	6	7	20	37	32	12	6	2	2	129	0.5208	13.9583	27.1036	1418.7870	24.6000	-26.9000	51.5000	16.9667	-18.0000	16.9667	-18.0000	129.0000	37.0000	1.0000	115.3110	89.0000	4.0000	89.0000	4.0000	0
76	76	99.2063	50.4486	2257.0000	-36.5000	-34.7000	-26.7000	-13.4000	-5.6000	0.3000	3.1000	1.0000	-5.3000	-13.8000	-26.1000	-33.3000	-24.8000	-20.0000	-10.1000	0.8000	10.0000	15.6000	16.4000	15.0000	9.8000	0.2000	-12.8000	-21.8000	3	2	5	12	21	57	90	73	35	13	7	3	321	-8.8625	14.1083	26.6698	1519.2344	16.4000	-36.5000	52.9000	8.5667	-28.5167	8.5667	-28.5167	321.0000	90.0000	2.0000	113.6476	220.0000	8.0000	220.0000	8.0000	0
77	77	96.8535	55.0807	537.0000	-29.1000	-28.5000	-19.0000	-7.0000	0.3000	6.8000	10.1000	7.8000	2.0000	-5.2000	-16.0000	-25.4000	-17.2000	-14.0000	-3.7000	6.3000	15.1000	21.9000	23.5000	20.5000	14.3000	4.5000	-6.0000	-14.9000	10	8	9	23	43	57	105	80	46	29	16	12	438	-2.2042	12.7917	24.3188	1476.9047	23.5000	-29.1000	52.6000	15.1000	-18.5833	15.1000	-21.5167	438.0000	105.0000	8.0000	85.3163	242.0000	27.0000	242.0000	30.0000	0
78	78	95.0153	55.4483	350.0000	-26.3000	-25.6000	-16.4000	-5.4000	1.8000	8.3000	11.4000	9.0000	3.1000	-4.3000	-14.7000	-23.2000	-15.6000	-13.2000	-3.1000	6.7000	15.7000	22.6000	24.4000	21.2000	14.8000	5.0000	-5.3000	-13.5000	13	11	11	23	44	55	86	71	43	35	23	17	432	-0.9417	11.8333	23.3399	1439.9303	24.4000	-26.3000	50.7000	16.1500	-16.7000	16.1500	-19.5667	432.0000	86.0000	11.0000	68.4423	212.0000	35.0000	212.0000	41.0000	0
79	79	90.6774	55.8159	311.0000	-22.8000	-22.1000	-13.6000	-4.3000	2.8000	9.4000	12.2000	9.7000	3.7000	-3.4000	-13.6000	-20.2000	-12.6000	-10.3000	-1.7000	7.2000	15.7000	22.6000	24.7000	21.5000	14.9000	5.2000	-4.8000	-10.8000	16	12	12	25	40	59	78	72	40	39	27	21	441	0.3917	11.1500	23.4737	1338.9376	24.7000	-22.8000	47.5000	16.6833	-13.8500	16.6833	-16.4667	441.0000	78.0000	12.0000	61.4084	209.0000	40.0000	209.0000	49.0000	0
80	80	102.8825	44.2725	1603.0000	-21.4000	-18.7000	-11.2000	-2.6000	5.3000	11.3000	13.4000	11.9000	5.1000	-3.3000	-12.4000	-19.1000	-7.9000	-4.1000	3.2000	12.3000	20.3000	25.3000	26.4000	24.8000	19.1000	10.8000	0.7000	-6.1000	1	2	3	6	12	22	36	35	13	5	3	1	139	3.4625	13.8750	29.0272	1288.1119	26.4000	-21.4000	47.8000	18.8500	-12.8833	18.8500	-12.8833	139.0000	36.0000	1.0000	110.2174	93.0000	4.0000	93.0000	4.0000	0
81	81	103.2501	45.5224	1433.0000	-23.4000	-20.7000	-12.5000	-3.6000	4.4000	10.4000	12.8000	11.3000	4.0000	-4.3000	-13.8000	-20.9000	-9.5000	-5.6000	2.5000	11.7000	19.8000	24.6000	25.7000	24.0000	18.5000	10.3000	-0.3000	-7.6000	1	2	3	5	15	29	54	39	14	5	2	2	171	2.4083	14.2000	28.9206	1327.4717	25.7000	-23.4000	49.1000	18.1333	-12.5833	18.1333	-14.6167	171.0000	54.0000	1.0000	122.1766	122.0000	5.0000	122.0000	5.0000	0
82	82	105.2353	45.6695	1399.0000	-24.5000	-21.8000	-13.3000	-4.1000	4.0000	10.2000	13.2000	11.4000	4.1000	-4.8000	-15.0000	-22.1000	-11.1000	-7.0000	1.8000	11.3000	19.8000	24.6000	26.0000	24.2000	18.3000	9.7000	-1.4000	-9.1000	1	2	2	4	12	24	42	36	15	4	2	2	146	1.8500	14.1500	28.0198	1387.1373	26.0000	-24.5000	50.5000	18.2667	-12.6500	18.2667	-15.9333	146.0000	42.0000	1.0000	118.2707	102.0000	5.0000	102.0000	5.0000	0
83	83	104.2059	44.5666	1073.0000	-22.5000	-19.2000	-10.3000	-0.9000	7.3000	13.3000	15.9000	14.2000	6.9000	-2.1000	-12.0000	-19.8000	-8.3000	-3.8000	5.3000	14.7000	23.1000	27.9000	29.4000	27.4000	21.5000	12.9000	1.7000	-6.4000	1	1	2	3	8	14	26	24	9	3	2	1	94	4.8417	14.5500	28.0347	1405.1736	29.4000	-22.5000	51.9000	21.3500	-13.3333	21.3500	-13.3333	94.0000	26.0000	1.0000	114.5492	64.0000	3.0000	64.0000	3.0000	0
84	84	105.2353	44.3460	1261.0000	-22.1000	-19.5000	-10.9000	-1.6000	6.5000	12.4000	15.2000	13.5000	6.5000	-2.4000	-12.4000	-19.7000	-9.3000	-5.0000	4.3000	13.3000	21.8000	26.7000	28.2000	26.3000	20.2000	11.6000	0.4000	-7.6000	1	1	1	4	7	15	30	25	11	3	2	1	101	4.0167	13.7833	27.4023	1387.9650	28.2000	-22.1000	50.3000	20.3833	-10.4167	20.3833	-13.8667	101.0000	30.0000	1.0000	118.9693	70.0000	3.0000	70.0000	3.0000	0
85	85	104.7941	47.2135	1462.0000	-25.9000	-24.0000	-15.1000	-6.0000	1.7000	8.0000	10.8000	9.1000	1.7000	-7.0000	-16.6000	-23.5000	-12.2000	-8.6000	0.4000	9.4000	17.9000	22.8000	23.6000	21.9000	16.5000	8.0000	-2.3000	-10.1000	2	2	3	6	22	45	67	51	27	6	4	3	238	0.0208	14.5083	29.3098	1351.5622	23.6000	-25.9000	49.5000	16.0333	-14.2333	16.0333	-17.3833	238.0000	67.0000	2.0000	114.9924	163.0000	7.0000	163.0000	7.0000	0
86	86	109.4997	46.1841	1232.0000	-24.5000	-23.2000	-14.9000	-5.7000	3.4000	10.5000	13.3000	11.5000	4.1000	-4.3000	-15.8000	-22.8000	-13.5000	-9.9000	-0.4000	9.6000	19.0000	24.6000	25.9000	24.1000	17.7000	9.0000	-3.6000	-12.0000	1	2	2	6	12	29	54	40	16	6	3	2	173	0.9208	13.2417	26.2731	1459.3514	25.9000	-24.5000	50.4000	18.3167	-14.4000	18.3167	-17.6500	173.0000	54.0000	1.0000	121.1739	123.0000	5.0000	123.0000	5.0000	0
87	87	108.2498	47.5811	1362.0000	-31.1000	-29.2000	-19.0000	-7.3000	1.0000	7.9000	10.8000	8.8000	1.1000	-7.5000	-20.5000	-28.9000	-18.5000	-14.5000	-3.8000	7.9000	16.9000	22.6000	23.3000	21.7000	15.6000	6.6000	-6.9000	-16.8000	2	2	3	8	12	44	90	75	29	9	4	2	280	-2.4917	14.0000	25.7353	1585.0664	23.3000	-31.1000	54.4000	15.8500	-23.1667	15.8500	-23.1667	280.0000	90.0000	2.0000	131.1092	209.0000	6.0000	209.0000	6.0000	0
88	88	110.6026	44.7872	974.0000	-23.2000	-20.3000	-11.4000	-1.6000	6.5000	13.0000	16.4000	14.6000	6.9000	-1.9000	-12.6000	-20.7000	-11.7000	-6.6000	3.1000	13.9000	22.2000	27.4000	29.2000	27.2000	20.6000	11.9000	-0.4000	-9.6000	1	2	2	4	8	19	37	33	12	5	2	1	126	3.8708	13.4583	25.6838	1482.3499	29.2000	-23.2000	52.4000	21.3000	-13.0333	21.3000	-15.3500	126.0000	37.0000	1.0000	120.4335	89.0000	4.0000	89.0000	4.0000	0
89	89	102.5884	36.7729	3205.0000	-18.0000	-15.7000	-10.3000	-5.0000	-0.3000	3.4000	5.9000	5.2000	1.5000	-4.0000	-10.8000	-16.2000	-4.7000	-2.8000	1.7000	6.6000	10.9000	14.1000	16.2000	15.6000	11.1000	6.6000	0.9000	-3.0000	2	5	14	29	55	71	101	109	75	25	6	2	494	0.3708	11.4583	33.5039	811.7446	16.2000	-18.0000	34.2000	9.2500	-10.0667	10.0667	-10.0667	494.0000	109.0000	2.0000	95.9652	285.0000	9.0000	281.0000	9.0000	0
