MASTER	LON_EX	LAT_EX	ALT_EX	alt_srtm	TMIN1	TMIN2	TMIN3	TMIN4	TMIN5	TMIN6	TMIN7	TMIN8	TMIN9	TMIN10	TMIN11	TMIN12	TMAX1	TMAX2	TMAX3	TMAX4	TMAX5	TMAX6	TMAX7	TMAX8	TMAX9	TMAX10	TMAX11	TMAX12	PREC1	PREC2	PREC3	PREC4	PREC5	PREC6	PREC7	PREC8	PREC9	PREC10	PREC11	PREC12	PRE_ALL	SPECIES	SHORTLIVED	PERENIAL	ANNUAL	BIENNIAL	HSCAP	HROS	GEOPHYTES	HCAESP	CHAMAEPHYT	NANOPHANOR	MAKROPHANE	OID_	MASTER_1	COUNT	ggs	ggb	gga	sg	MEAN	PRO	comm_coarse	Comm	slope	aspect	slope_srtm	aspect_srtm	sin_srtm	pro
884	97.6232	43.2193	1424	1449	-20.5000	-17.8000	-9.9000	-1.7000	5.7000	11.6000	13.7000	12.1000	5.7000	-2.8000	-11.9000	-17.8000	-6.0000	-2.1000	5.8000	14.3000	21.7000	26.7000	28.1000	26.8000	21.0000	12.5000	2.5000	-4.0000	1	1	1	2	3	9	19	13	5	2	1	1	58	8	1	3	1	0	2	0	1	2	1	1	0	882	884	1	0	0	1	0	112.71099853516	245.00000000000	5	9	0.3068	168.6900	3.1535	209.3580	0.9039	62.30210000000
885	97.6232	43.2202	1446	1432	-20.5000	-17.8000	-9.9000	-1.7000	5.7000	11.6000	13.7000	12.1000	5.7000	-2.8000	-11.9000	-17.8000	-6.0000	-2.1000	5.8000	14.3000	21.7000	26.7000	28.1000	26.8000	21.0000	12.5000	2.5000	-4.0000	1	1	1	2	3	9	19	13	5	2	1	1	58	5	2	1	2	0	1	0	0	0	1	2	0	883	885	1	0	0	1	0	112.71099853516	120.00000000000	6	8	0.3068	168.6900	3.1535	209.3580	0.9039	22.15470000000
886	97.6925	43.2459	1361	1374	-20.4000	-17.7000	-9.8000	-1.5000	5.8000	11.8000	13.8000	12.2000	5.8000	-2.6000	-11.8000	-17.8000	-5.9000	-2.0000	5.9000	14.5000	21.8000	27.0000	28.3000	26.9000	21.2000	12.7000	2.6000	-4.0000	1	1	1	2	3	9	19	13	5	2	1	1	58	5	2	3	2	0	1	0	0	0	1	3	0	884	886	1	0	0	1	0	132.76699829102	242.00000000000	3	8	0.7489	176.7110	5.2475	175.3140	-0.5771	27.22150000000
888	97.7731	43.3070	1204	1201	-20.2000	-17.3000	-9.2000	-0.8000	6.7000	12.6000	14.7000	13.1000	6.6000	-2.0000	-11.2000	-17.5000	-5.7000	-1.4000	6.6000	15.4000	22.9000	28.0000	29.3000	27.9000	22.1000	13.4000	3.2000	-3.7000	1	1	1	2	2	8	17	12	4	2	1	1	52	4	4	2	4	0	4	1	1	1	0	2	0	886	888	1	0	0	1	0	76.02770233154	168.00000000000	7	18	3.7134	35.7840	29.6725	41.5834	-0.6763	33.35740000000
889	97.7747	43.3058	1198	1203	-20.2000	-17.3000	-9.2000	-0.8000	6.7000	12.6000	14.7000	13.1000	6.6000	-2.0000	-11.2000	-17.5000	-5.7000	-1.4000	6.6000	15.4000	22.9000	28.0000	29.3000	27.9000	22.1000	13.4000	3.2000	-3.7000	1	1	1	2	2	8	17	12	4	2	1	1	52	3	4	2	4	1	5	1	1	1	0	1	0	887	889	1	0	0	1	0	76.02770233154	168.00000000000	7	18	3.7134	35.7840	29.6725	41.5834	-0.6763	33.35740000000
890	97.7181	43.2930	1301	1413	-20.6000	-17.8000	-10.0000	-1.7000	5.6000	11.7000	13.8000	12.1000	5.7000	-2.7000	-11.9000	-17.9000	-6.1000	-2.0000	5.7000	14.3000	21.7000	26.8000	28.2000	26.8000	21.0000	12.6000	2.5000	-4.1000	1	1	1	2	2	9	19	13	5	2	1	1	57	6	4	3	4	0	4	1	1	2	1	2	0	888	890	1	0	0	1	0	76.02770233154	108.00000000000	7	18	1.9085	2.0638	20.5029	7.6098	0.9703	33.35740000000
891	97.7997	43.2939	1287	1311	-20.3000	-17.5000	-9.6000	-1.2000	6.1000	12.1000	14.2000	12.6000	6.2000	-2.4000	-11.5000	-17.7000	-5.8000	-1.7000	6.2000	14.8000	22.2000	27.4000	28.8000	27.4000	21.6000	13.0000	2.9000	-3.9000	1	1	1	2	2	8	18	13	5	2	1	1	55	5	3	2	3	0	2	0	2	2	1	0	0	889	891	1	0	0	1	0	77.90419769287	82.00000000000	7	18	5.0483	7.4146	39.8289	22.0886	-0.0973	21.83490000000
892	97.8026	43.3064	1212	1207	-20.1000	-17.3000	-9.1000	-0.7000	6.6000	12.7000	14.8000	13.2000	6.6000	-1.9000	-11.1000	-17.5000	-5.6000	-1.4000	6.7000	15.5000	22.9000	28.1000	29.4000	28.0000	22.1000	13.6000	3.3000	-3.8000	1	1	1	2	2	7	17	12	4	2	1	1	51	5	2	2	2	0	1	1	1	1	1	0	0	890	892	1	0	0	1	0	77.90419769287	82.00000000000	7	18	3.9854	10.2938	38.7473	13.9583	0.9840	21.83490000000
893	97.7986	43.3050	1220	1218	-20.1000	-17.3000	-9.1000	-0.7000	6.6000	12.7000	14.8000	13.2000	6.6000	-1.9000	-11.1000	-17.5000	-5.6000	-1.4000	6.7000	15.5000	22.9000	28.1000	29.4000	28.0000	22.1000	13.6000	3.3000	-3.8000	1	1	1	2	2	7	17	12	4	2	1	1	51	3	3	2	3	0	2	1	1	2	1	3	0	891	893	1	0	0	1	0	77.90419769287	82.00000000000	7	18	4.3368	6.8158	38.7473	13.9583	0.9840	17.66750000000
894	97.7988	43.3137	1169	1165	-20.1000	-17.1000	-8.9000	-0.5000	6.9000	12.8000	14.9000	13.3000	6.9000	-1.7000	-11.0000	-17.4000	-5.6000	-1.2000	7.0000	15.8000	23.2000	28.3000	29.6000	28.2000	22.5000	13.8000	3.5000	-3.7000	1	1	1	2	2	7	16	11	4	2	1	1	49	5	4	1	4	0	1	1	1	2	0	2	0	892	894	1	0	0	1	0	77.90419769287	67.00000000000	7	18	2.9856	9.4352	31.0451	7.1605	0.7690	17.66750000000
895	97.7969	43.3170	1144	1154	-20.0000	-17.1000	-8.8000	-0.4000	7.0000	12.9000	15.0000	13.4000	6.9000	-1.7000	-10.9000	-17.4000	-5.5000	-1.2000	7.1000	15.9000	23.3000	28.4000	29.7000	28.3000	22.5000	13.9000	3.5000	-3.7000	1	1	1	2	2	7	16	11	4	2	1	1	49	3	2	1	2	0	2	1	1	2	0	1	0	893	895	1	0	0	1	0	77.90419769287	67.00000000000	7	16	1.5652	19.2307	17.4791	10.9887	-1.0000	20.01370000000
896	97.8494	43.3527	1030	1021	-19.8000	-16.6000	-8.2000	0.2000	7.7000	13.7000	15.7000	14.1000	7.6000	-1.1000	-10.4000	-17.0000	-5.3000	-0.6000	7.8000	16.7000	24.2000	29.3000	30.6000	29.2000	23.4000	14.6000	4.1000	-3.4000	1	1	1	2	1	6	14	10	3	2	1	1	43	4	0	2	0	0	1	0	1	1	1	2	0	894	896	1	0	0	1	0	94.80979919434	74.00000000000	7	18	1.3421	28.6983	15.0031	24.1254	-0.8454	20.01370000000
897	97.8507	43.3542	1012	1011	-19.8000	-16.6000	-8.2000	0.2000	7.7000	13.7000	15.7000	14.1000	7.6000	-1.1000	-10.4000	-17.0000	-5.3000	-0.6000	7.8000	16.7000	24.2000	29.3000	30.6000	29.2000	23.4000	14.6000	4.1000	-3.4000	1	1	1	2	1	6	14	10	3	2	1	1	43	3	4	1	4	0	1	1	1	1	0	4	0	895	897	1	0	0	1	0	94.80979919434	74.00000000000	7	17	1.4807	21.8014	15.0031	24.1254	-0.8454	20.01370000000
898	97.8763	43.3644	966	954	-19.5000	-16.5000	-8.0000	0.5000	8.0000	13.9000	16.0000	14.4000	7.9000	-0.8000	-10.2000	-17.0000	-5.1000	-0.5000	8.1000	17.1000	24.6000	29.6000	30.9000	29.5000	23.7000	14.9000	4.2000	-3.3000	1	1	1	2	1	6	14	10	3	1	1	1	42	4	2	1	1	1	2	3	1	2	0	4	0	896	898	1	0	0	1	0	94.80979919434	60.00000000000	7	16	1.7236	20.4223	17.1727	21.9564	0.0347	13.29660000000
