MASTER	LON_EX	LAT_EX	ALT_EX	alt_srtm	TMIN1	TMIN2	TMIN3	TMIN4	TMIN5	TMIN6	TMIN7	TMIN8	TMIN9	TMIN10	TMIN11	TMIN12	TMAX1	TMAX2	TMAX3	TMAX4	TMAX5	TMAX6	TMAX7	TMAX8	TMAX9	TMAX10	TMAX11	TMAX12	PREC1	PREC2	PREC3	PREC4	PREC5	PREC6	PREC7	PREC8	PREC9	PREC10	PREC11	PREC12	PRE_ALL	SPECIES	SHORTLIVED	PERENIAL	ANNUAL	BIENNIAL	HSCAP	HROS	GEOPHYTES	HCAESP	CHAMAEPHYT	NANOPHANOR	MAKROPHANE	OID_	MASTER_1	COUNT	ggs	ggb	gga	sg	MEAN	PRO	comm_coarse	Comm	slope	aspect	slope_srtm	aspect_srtm	sin_srtm	pro
1	104.0600	43.2900	1722	1765	-21.2000	-17.8000	-10.3000	-1.8000	5.9000	11.5000	13.9000	12.3000	5.9000	-2.5000	-11.8000	-18.6000	-7.9000	-4.1000	3.4000	12.4000	20.2000	25.2000	26.6000	25.0000	19.1000	11.1000	1.1000	-6.0000	1	2	3	6	12	21	34	33	13	4	2	1	132	17	0	8	0	0	4	1	0	2	1	8	0	0	1	1	1	0	0	0	433.89199829102	247.00000000000	1	1	1.5672	183.7720	15.0448	186.4110	-0.8709	70.04450000000
2	104.0200	43.3400	2041	1957	-22.2000	-19.0000	-11.9000	-3.5000	4.2000	9.9000	12.2000	10.7000	4.3000	-4.0000	-13.2000	-19.7000	-9.1000	-5.5000	1.6000	10.4000	18.1000	23.2000	24.6000	23.0000	17.1000	9.3000	-0.4000	-7.2000	1	2	4	7	14	25	41	39	15	5	3	1	157	19	1	10	1	0	5	2	1	2	0	8	0	1	2	1	1	0	0	0	373.35900878906	389.00000000000	1	1	3.2805	188.4270	29.3983	186.5760	-0.9398	61.54370000000
3	104.0200	43.3400	2041	1957	-22.2000	-19.0000	-11.9000	-3.5000	4.2000	9.9000	12.2000	10.7000	4.3000	-4.0000	-13.2000	-19.7000	-9.1000	-5.5000	1.6000	10.4000	18.1000	23.2000	24.6000	23.0000	17.1000	9.3000	-0.4000	-7.2000	1	2	4	7	14	25	41	39	15	5	3	1	157	20	0	10	0	0	4	2	0	2	3	9	0	2	3	1	1	0	0	0	373.35900878906	389.00000000000	1	1	3.2805	188.4270	29.3983	186.5760	-0.9398	61.54370000000
4	104.0200	43.2600	1703	1685	-21.1000	-17.7000	-10.3000	-1.7000	6.0000	11.6000	14.0000	12.4000	6.0000	-2.4000	-11.7000	-18.6000	-7.8000	-4.0000	3.5000	12.6000	20.3000	25.3000	26.7000	25.1000	19.2000	11.2000	1.2000	-5.9000	1	2	3	6	11	21	34	33	13	4	2	1	131	14	1	7	1	0	5	2	0	2	1	4	0	3	4	1	1	0	0	0	252.49699401855	247.00000000000	1	1	0.8283	202.5740	7.6755	198.8380	-0.7942	42.37840000000
5	103.1902	43.6742	2377	2199	-23.0000	-20.3000	-13.8000	-5.6000	2.1000	8.1000	10.2000	8.7000	2.3000	-5.8000	-14.7000	-20.7000	-9.9000	-6.6000	-0.2000	8.3000	15.9000	21.2000	22.4000	20.9000	15.2000	7.3000	-1.9000	-8.1000	1	2	5	9	16	29	50	47	18	6	3	1	187	28	2	13	2	0	13	3	3	4	5	3	0	4	5	1	1	0	0	0	363.18200683594	325.00000000000	1	7	9.1133	186.2810	50.7287	180.3520	-0.9584	64.52920000000
6	103.1300	43.5100	1493	1527	-20.4000	-17.4000	-9.8000	-1.1000	6.8000	12.6000	14.8000	13.2000	6.5000	-2.0000	-11.2000	-18.0000	-6.8000	-2.9000	4.7000	13.8000	21.7000	26.8000	28.1000	26.4000	20.5000	12.2000	2.0000	-5.1000	1	1	3	5	10	17	27	28	11	4	2	1	110	6	0	2	0	0	1	2	0	0	0	4	0	5	6	1	1	0	0	0	374.82800292969	306.00000000000	1	4	1.4380	14.5345	14.0398	14.9536	0.6848	64.10800000000
7	103.1300	43.5100	1493	1527	-20.4000	-17.4000	-9.8000	-1.1000	6.8000	12.6000	14.8000	13.2000	6.5000	-2.0000	-11.2000	-18.0000	-6.8000	-2.9000	4.7000	13.8000	21.7000	26.8000	28.1000	26.4000	20.5000	12.2000	2.0000	-5.1000	1	1	3	5	10	17	27	28	11	4	2	1	110	8	0	5	0	0	3	0	0	0	0	4	0	6	7	1	1	0	0	0	374.82800292969	306.00000000000	1	4	1.4380	14.5345	14.0398	14.9536	0.6848	64.10800000000
8	103.1300	43.5100	1493	1527	-20.4000	-17.4000	-9.8000	-1.1000	6.8000	12.6000	14.8000	13.2000	6.5000	-2.0000	-11.2000	-18.0000	-6.8000	-2.9000	4.7000	13.8000	21.7000	26.8000	28.1000	26.4000	20.5000	12.2000	2.0000	-5.1000	1	1	3	5	10	17	27	28	11	4	2	1	110	10	0	6	0	0	5	0	0	1	1	2	0	7	8	1	1	0	0	0	374.82800292969	306.00000000000	1	4	1.4380	14.5345	14.0398	14.9536	0.6848	64.10800000000
9	104.0575	43.4982	2429	2463	-23.5000	-20.6000	-13.9000	-5.7000	2.0000	7.8000	10.1000	8.6000	2.3000	-5.8000	-14.9000	-21.1000	-10.6000	-7.3000	-0.6000	7.8000	15.5000	20.6000	22.0000	20.5000	14.7000	6.9000	-2.4000	-8.7000	1	2	5	8	17	30	51	47	19	6	3	1	190	19	0	10	0	0	8	0	2	5	1	2	0	8	9	1	1	0	0	0	471.00100708008	415.00000000000	1	4	5.3976	188.4900	46.8462	192.1000	-0.4465	75.05400000000
10	103.2542	43.8383	2220	2361	-22.8000	-20.1000	-13.3000	-5.0000	2.8000	8.8000	10.9000	9.3000	2.9000	-5.3000	-14.2000	-20.5000	-9.6000	-6.2000	0.4000	9.0000	16.8000	22.0000	23.2000	21.7000	15.9000	8.0000	-1.4000	-7.8000	1	2	4	8	15	28	47	45	17	6	3	1	177	20	0	10	0	0	9	3	1	3	3	3	0	9	10	1	1	0	0	0	419.28201293945	331.00000000000	1	4	4.9001	206.8340	50.8243	197.9480	-0.0277	71.41930000000
11	100.8959	43.6682	2194	2495	-21.5000	-19.5000	-13.1000	-5.0000	2.1000	8.4000	10.2000	8.8000	2.7000	-5.3000	-13.9000	-19.5000	-8.1000	-4.7000	1.1000	9.6000	16.7000	22.2000	23.1000	21.9000	16.3000	8.4000	-0.6000	-6.4000	1	2	2	4	7	20	45	39	15	4	2	0	141	15	0	4	0	0	4	3	0	5	3	2	0	10	11	1	1	0	0	0	160.17199707031	131.00000000000	1	4	9.9441	341.1310	64.2748	339.9140	0.5827	26.26180000000
12	103.1026	43.7190	2226	2274	-22.5000	-19.9000	-13.1000	-4.9000	2.9000	8.8000	10.9000	9.4000	3.0000	-5.2000	-14.1000	-20.3000	-9.3000	-6.0000	0.6000	9.2000	16.9000	22.1000	23.3000	21.8000	16.0000	8.1000	-1.3000	-7.6000	1	2	4	8	15	27	46	44	17	6	3	1	174	11	1	4	0	1	2	1	1	2	3	2	0	11	12	1	1	0	0	0	324.59899902344	319.00000000000	1	4	3.0513	42.2628	21.2848	52.5121	0.7802	57.08430000000
13	103.8550	43.6200	2350	2544	-23.3000	-20.4000	-13.7000	-5.4000	2.3000	8.2000	10.4000	8.9000	2.5000	-5.6000	-14.7000	-20.9000	-10.3000	-6.9000	-0.2000	8.3000	16.0000	21.2000	22.5000	21.0000	15.2000	7.4000	-2.0000	-8.4000	1	2	5	8	16	29	49	46	18	6	3	1	184	7	1	3	1	0	2	1	0	2	1	2	0	12	13	1	1	0	0	0	501.82699584961	484.00000000000	1	4	3.0245	136.3800	32.4581	156.9430	-0.1362	90.43880000000
14	103.7722	43.6217	2249	2417	-22.9000	-20.0000	-13.2000	-4.9000	2.9000	8.7000	10.9000	9.4000	3.0000	-5.2000	-14.2000	-20.6000	-9.9000	-6.5000	0.4000	9.0000	16.7000	21.8000	23.2000	21.6000	15.8000	8.0000	-1.5000	-8.0000	1	2	4	8	16	28	46	44	17	6	3	1	176	4	0	2	0	0	1	0	0	0	1	2	0	13	14	1	1	0	0	0	501.82699584961	484.00000000000	1	4	10.2190	191.1790	57.1206	193.1200	-0.9961	90.43880000000
15	100.5700	43.3900	1703	1713	-20.2000	-17.8000	-10.9000	-2.8000	4.3000	10.5000	12.3000	10.9000	4.8000	-3.3000	-12.1000	-18.0000	-6.4000	-2.6000	3.8000	12.4000	19.6000	24.9000	25.9000	24.6000	19.1000	11.0000	1.5000	-4.8000	1	1	1	2	4	13	32	27	10	3	1	0	95	14	0	7	0	0	6	2	1	2	1	2	0	14	15	1	1	0	0	0	170.19299316406	174.00000000000	1	4	1.1788	2.9250	11.6174	0.4182	0.4061	31.30290000000
16	103.7991	43.6708	2129	2238	-22.8000	-19.7000	-12.8000	-4.4000	3.4000	9.3000	11.5000	10.0000	3.5000	-4.8000	-13.9000	-20.3000	-9.6000	-6.1000	0.9000	9.6000	17.4000	22.5000	23.8000	22.2000	16.4000	8.5000	-1.0000	-7.7000	1	2	4	8	15	27	44	42	16	5	3	1	168	23	1	8	0	1	8	3	1	5	4	3	0	15	16	1	1	0	0	0	378.34698486328	325.00000000000	1	4	4.7296	2.5979	33.2637	1.4419	0.9917	67.34720000000
17	103.7977	43.6708	2129	2222	-22.8000	-19.7000	-12.8000	-4.4000	3.4000	9.3000	11.5000	10.0000	3.5000	-4.8000	-13.9000	-20.3000	-9.6000	-6.1000	0.9000	9.6000	17.4000	22.5000	23.8000	22.2000	16.4000	8.5000	-1.0000	-7.7000	1	2	4	8	15	27	44	42	16	5	3	1	168	7	0	4	0	0	3	1	0	2	0	2	0	16	17	1	1	0	0	0	378.34698486328	325.00000000000	1	4	4.7296	2.5979	33.2637	1.4419	0.9917	67.34720000000
18	103.6836	43.6574	2281	2266	-23.0000	-20.1000	-13.4000	-5.1000	2.7000	8.6000	10.7000	9.2000	2.8000	-5.4000	-14.4000	-20.7000	-9.9000	-6.6000	0.2000	8.7000	16.4000	21.7000	22.9000	21.4000	15.6000	7.8000	-1.6000	-8.1000	1	2	5	8	16	28	47	45	18	6	3	1	180	14	2	4	2	0	2	1	1	4	2	2	0	17	18	1	1	0	0	0	387.35800170898	353.00000000000	1	4	2.6262	9.0311	42.1881	80.6624	-0.8516	71.63200000000
19	101.9778	44.6036	2167	2258	-22.2000	-20.2000	-13.8000	-5.6000	2.0000	8.0000	9.9000	8.4000	2.2000	-5.6000	-14.4000	-20.2000	-9.3000	-6.1000	0.0000	8.6000	16.3000	21.5000	22.4000	21.0000	15.4000	7.6000	-1.7000	-7.6000	1	2	4	8	14	32	59	50	18	6	3	1	198	17	3	5	2	1	5	1	1	3	3	2	0	18	19	1	1	0	0	0	335.70098876953	307.00000000000	1	4	5.3453	199.7710	49.9949	185.7820	-0.4151	56.97850000000
20	102.5592	44.4871	2112	2164	-22.4000	-20.1000	-13.4000	-5.2000	2.5000	8.6000	10.6000	9.1000	2.6000	-5.4000	-14.2000	-20.3000	-9.3000	-6.0000	0.4000	9.1000	16.8000	22.0000	23.0000	21.5000	15.9000	8.0000	-1.4000	-7.6000	1	2	4	8	15	31	55	48	18	6	3	1	192	19	1	5	0	1	7	0	2	4	2	5	0	19	20	1	1	0	0	0	326.13000488281	276.00000000000	1	4	4.6874	205.3460	39.3846	201.2180	0.1554	60.57260000000
21	103.2577	43.8410	2220	2415	-22.8000	-20.1000	-13.3000	-5.0000	2.8000	8.8000	10.9000	9.3000	2.9000	-5.3000	-14.2000	-20.5000	-9.6000	-6.2000	0.4000	9.0000	16.8000	22.0000	23.2000	21.7000	15.9000	8.0000	-1.4000	-7.8000	1	2	4	8	15	28	47	45	17	6	3	1	177	18	0	9	0	0	7	2	1	4	2	1	0	20	21	1	1	0	0	0	419.28201293945	331.00000000000	1	4	4.9001	206.8340	21.7866	10.3818	-0.8175	71.41930000000
22	104.0361	43.4166	2314	2397	-23.0000	-20.0000	-13.3000	-5.0000	2.7000	8.5000	10.8000	9.2000	2.9000	-5.2000	-14.3000	-20.6000	-10.1000	-6.7000	0.1000	8.6000	16.3000	21.5000	22.9000	21.3000	15.5000	7.7000	-1.8000	-8.2000	1	2	4	8	16	28	47	44	18	6	3	1	178	9	0	3	0	0	3	2	0	2	2	2	0	21	22	1	1	0	0	0	469.42800903320	506.00000000000	1	4	2.7664	175.1920	27.6694	182.7890	0.5452	77.24620000000
23	104.0583	43.4846	2429	2333	-23.5000	-20.6000	-13.9000	-5.7000	2.0000	7.8000	10.1000	8.6000	2.3000	-5.8000	-14.9000	-21.1000	-10.6000	-7.3000	-0.6000	7.8000	15.5000	20.6000	22.0000	20.5000	14.7000	6.9000	-2.4000	-8.7000	1	2	5	8	17	30	51	47	19	6	3	1	190	5	0	1	0	0	1	0	0	2	1	1	0	22	23	1	1	0	0	0	543.95501708984	415.00000000000	1	4	2.8028	190.4150	7.3012	71.5650	0.6378	91.99500000000
24	100.5700	43.3900	1703	1713	-20.2000	-17.8000	-10.9000	-2.8000	4.3000	10.5000	12.3000	10.9000	4.8000	-3.3000	-12.1000	-18.0000	-6.4000	-2.6000	3.8000	12.4000	19.6000	24.9000	25.9000	24.6000	19.1000	11.0000	1.5000	-4.8000	1	1	1	2	4	13	32	27	10	3	1	0	95	14	0	5	0	0	6	2	1	1	2	1	0	23	24	1	1	0	0	0	170.19299316406	174.00000000000	1	4	1.1788	2.9250	11.6174	0.4182	0.4061	31.30290000000
25	102.0300	43.3600	1455	1450	-19.7000	-16.9000	-9.4000	-0.9000	6.7000	12.6000	14.7000	13.1000	6.6000	-1.8000	-10.8000	-17.4000	-6.1000	-2.0000	5.3000	14.3000	21.9000	27.0000	28.3000	26.8000	20.9000	12.6000	2.5000	-4.5000	1	1	2	3	6	13	27	24	9	3	1	0	90	10	0	3	0	0	3	2	1	2	2	3	0	24	25	1	1	0	0	0	177.73599243164	159.00000000000	1	4	0.6198	343.0720	6.2346	344.0550	-0.9987	31.96350000000
26	103.1200	43.4100	1910	1973	-21.4000	-18.5000	-11.4000	-2.9000	4.8000	10.7000	12.8000	11.3000	4.8000	-3.6000	-12.6000	-19.0000	-8.0000	-4.4000	2.6000	11.5000	19.2000	24.4000	25.7000	24.1000	18.2000	10.1000	0.4000	-6.2000	1	2	4	6	12	21	35	35	14	5	2	1	138	12	0	5	0	0	6	0	1	2	1	1	0	25	26	1	1	0	0	0	234.90100097656	227.00000000000	1	4	2.1786	18.1492	19.3247	29.1975	-0.7975	41.94280000000
27	103.1300	43.5100	1493	1527	-20.4000	-17.4000	-9.8000	-1.1000	6.8000	12.6000	14.8000	13.2000	6.5000	-2.0000	-11.2000	-18.0000	-6.8000	-2.9000	4.7000	13.8000	21.7000	26.8000	28.1000	26.4000	20.5000	12.2000	2.0000	-5.1000	1	1	3	5	10	17	27	28	11	4	2	1	110	15	0	7	0	0	5	1	2	3	1	2	0	26	27	1	1	0	0	0	374.82800292969	306.00000000000	1	4	1.4380	14.5345	14.0398	14.9536	0.6848	64.10800000000
28	104.1390	43.4994	2414	2202	-23.5000	-20.5000	-13.9000	-5.6000	2.1000	7.9000	10.2000	8.6000	2.4000	-5.8000	-14.8000	-21.1000	-10.6000	-7.3000	-0.5000	7.9000	15.5000	20.7000	22.1000	20.6000	14.8000	7.0000	-2.4000	-8.7000	1	2	5	8	17	30	51	47	19	6	3	1	190	20	2	11	2	0	7	2	1	2	2	5	1	27	28	1	1	0	0	0	368.35198974609	415.00000000000	1	4	4.8931	27.5528	30.3703	25.3183	0.1845	55.71410000000
29	104.0174	43.4454	2533	2559	-23.7000	-20.9000	-14.4000	-6.2000	1.5000	7.3000	9.6000	8.1000	1.8000	-6.2000	-15.3000	-21.4000	-10.9000	-7.7000	-1.1000	7.2000	14.8000	20.0000	21.5000	19.9000	14.2000	6.4000	-2.8000	-9.0000	1	2	5	9	17	31	53	49	20	6	3	1	197	19	2	8	2	0	6	4	0	6	2	0	0	28	29	1	1	0	0	0	469.42800903320	365.00000000000	1	2	4.7398	345.4360	50.2076	344.7830	-0.7119	77.24620000000
30	104.0760	43.4969	2429	2530	-23.5000	-20.6000	-13.9000	-5.7000	2.0000	7.8000	10.1000	8.6000	2.3000	-5.8000	-14.9000	-21.1000	-10.6000	-7.3000	-0.6000	7.8000	15.5000	20.6000	22.0000	20.5000	14.7000	6.9000	-2.4000	-8.7000	1	2	5	8	17	30	51	47	19	6	3	1	190	34	3	15	3	0	12	9	3	8	1	1	0	29	30	1	1	0	0	0	471.00100708008	415.00000000000	1	2	3.3524	129.8060	18.6361	141.1410	0.2286	75.05400000000
31	104.0300	43.2900	1703	1748	-21.1000	-17.7000	-10.3000	-1.7000	6.0000	11.6000	14.0000	12.4000	6.0000	-2.4000	-11.7000	-18.6000	-7.8000	-4.0000	3.5000	12.6000	20.3000	25.3000	26.7000	25.1000	19.2000	11.2000	1.2000	-5.9000	1	2	3	6	11	21	34	33	13	4	2	1	131	22	3	7	3	0	6	8	1	7	2	1	0	30	31	1	1	0	0	0	373.35900878906	247.00000000000	1	1	1.4633	192.8940	13.9838	192.5290	-0.7782	61.54370000000
32	103.4700	43.3800	1571	1617	-20.7000	-17.5000	-9.9000	-1.2000	6.5000	12.3000	14.6000	13.0000	6.4000	-2.1000	-11.3000	-18.2000	-7.1000	-3.2000	4.3000	13.5000	21.2000	26.3000	27.6000	26.0000	20.1000	11.9000	1.8000	-5.3000	1	2	3	6	10	18	28	30	11	4	2	1	116	38	6	16	6	0	14	8	2	12	2	0	0	31	32	1	1	0	0	0	208.15800476074	197.00000000000	1	2	1.8466	84.6608	19.1540	102.4750	0.9312	38.86000000000
33	103.4700	43.3800	1571	1617	-20.7000	-17.5000	-9.9000	-1.2000	6.5000	12.3000	14.6000	13.0000	6.4000	-2.1000	-11.3000	-18.2000	-7.1000	-3.2000	4.3000	13.5000	21.2000	26.3000	27.6000	26.0000	20.1000	11.9000	1.8000	-5.3000	1	2	3	6	10	18	28	30	11	4	2	1	116	41	4	19	4	0	17	13	2	11	2	0	0	32	33	1	1	0	0	0	208.15800476074	197.00000000000	1	2	1.8466	84.6608	19.1540	102.4750	0.9312	38.86000000000
34	104.0200	43.3400	2041	1957	-22.2000	-19.0000	-11.9000	-3.5000	4.2000	9.9000	12.2000	10.7000	4.3000	-4.0000	-13.2000	-19.7000	-9.1000	-5.5000	1.6000	10.4000	18.1000	23.2000	24.6000	23.0000	17.1000	9.3000	-0.4000	-7.2000	1	2	4	7	14	25	41	39	15	5	3	1	157	34	3	14	3	0	11	14	0	12	1	1	0	33	34	1	1	0	0	0	373.35900878906	389.00000000000	1	2	3.2805	188.4270	29.3983	186.5760	-0.9398	61.54370000000
35	103.7897	43.6504	2516	2383	-23.7000	-21.0000	-14.5000	-6.3000	1.4000	7.3000	9.5000	8.0000	1.7000	-6.4000	-15.3000	-21.4000	-10.8000	-7.7000	-1.1000	7.2000	14.9000	20.1000	21.5000	20.0000	14.2000	6.4000	-2.8000	-9.0000	1	2	5	9	18	32	54	50	20	6	3	2	202	22	1	9	1	0	8	10	2	6	3	0	0	34	35	1	1	0	0	0	378.34698486328	484.00000000000	1	2	6.3120	11.7366	52.5398	17.6016	-0.9483	67.34720000000
36	104.0600	43.2900	1722	1765	-21.2000	-17.8000	-10.3000	-1.8000	5.9000	11.5000	13.9000	12.3000	5.9000	-2.5000	-11.8000	-18.6000	-7.9000	-4.1000	3.4000	12.4000	20.2000	25.2000	26.6000	25.0000	19.1000	11.1000	1.1000	-6.0000	1	2	3	6	12	21	34	33	13	4	2	1	132	32	2	17	2	0	13	11	2	5	2	0	0	35	36	1	1	0	0	0	433.89199829102	247.00000000000	1	3	1.5672	183.7720	15.0448	186.4110	-0.8709	70.04450000000
37	104.0600	43.2900	1722	1765	-21.2000	-17.8000	-10.3000	-1.8000	5.9000	11.5000	13.9000	12.3000	5.9000	-2.5000	-11.8000	-18.6000	-7.9000	-4.1000	3.4000	12.4000	20.2000	25.2000	26.6000	25.0000	19.1000	11.1000	1.1000	-6.0000	1	2	3	6	12	21	34	33	13	4	2	1	132	38	0	17	0	0	16	17	2	8	0	1	0	36	37	1	1	0	0	0	433.89199829102	247.00000000000	1	3	1.5672	183.7720	15.0448	186.4110	-0.8709	70.04450000000
38	103.2585	43.8400	2220	2459	-22.8000	-20.1000	-13.3000	-5.0000	2.8000	8.8000	10.9000	9.3000	2.9000	-5.3000	-14.2000	-20.5000	-9.6000	-6.2000	0.4000	9.0000	16.8000	22.0000	23.2000	21.7000	15.9000	8.0000	-1.4000	-7.8000	1	2	4	8	15	28	47	45	17	6	3	1	177	19	0	7	0	0	6	14	2	5	2	1	0	37	38	1	1	0	0	0	419.28201293945	331.00000000000	1	3	2.9004	199.1860	50.8243	197.9480	-0.0277	71.41930000000
39	103.7899	43.6508	2516	2383	-23.7000	-21.0000	-14.5000	-6.3000	1.4000	7.3000	9.5000	8.0000	1.7000	-6.4000	-15.3000	-21.4000	-10.8000	-7.7000	-1.1000	7.2000	14.9000	20.1000	21.5000	20.0000	14.2000	6.4000	-2.8000	-9.0000	1	2	5	9	18	32	54	50	20	6	3	2	202	30	1	18	1	0	16	12	3	4	2	0	0	38	39	1	1	0	0	0	378.34698486328	484.00000000000	1	3	6.3120	11.7366	52.5398	17.6016	-0.9483	67.34720000000
40	103.7897	43.6504	2516	2383	-23.7000	-21.0000	-14.5000	-6.3000	1.4000	7.3000	9.5000	8.0000	1.7000	-6.4000	-15.3000	-21.4000	-10.8000	-7.7000	-1.1000	7.2000	14.9000	20.1000	21.5000	20.0000	14.2000	6.4000	-2.8000	-9.0000	1	2	5	9	18	32	54	50	20	6	3	2	202	23	1	12	1	0	9	13	2	6	1	0	0	39	40	1	1	0	0	0	378.34698486328	484.00000000000	1	3	6.3120	11.7366	52.5398	17.6016	-0.9483	67.34720000000
41	103.5133	43.7634	2245	2463	-23.0000	-20.1000	-13.4000	-5.0000	2.8000	8.7000	10.8000	9.3000	2.8000	-5.4000	-14.3000	-20.6000	-9.8000	-6.4000	0.3000	8.9000	16.6000	21.9000	23.1000	21.6000	15.8000	7.9000	-1.5000	-8.0000	1	2	5	8	16	28	47	45	18	6	3	1	180	18	0	8	0	0	7	10	2	4	2	0	0	40	41	1	1	0	0	0	339.35900878906	322.00000000000	1	3	2.4453	300.6190	24.2877	208.6100	0.9536	63.24340000000
42	104.0169	43.4447	2533	2596	-23.7000	-20.9000	-14.4000	-6.2000	1.5000	7.3000	9.6000	8.1000	1.8000	-6.2000	-15.3000	-21.4000	-10.9000	-7.7000	-1.1000	7.2000	14.8000	20.0000	21.5000	19.9000	14.2000	6.4000	-2.8000	-9.0000	1	2	5	9	17	31	53	49	20	6	3	1	197	17	1	5	1	0	6	7	2	4	1	0	0	41	42	1	1	0	0	0	469.42800903320	365.00000000000	1	3	4.7398	345.4360	45.8905	338.1370	-0.9148	77.24620000000
43	103.8548	43.6218	2350	2616	-23.3000	-20.4000	-13.7000	-5.4000	2.3000	8.2000	10.4000	8.9000	2.5000	-5.6000	-14.7000	-20.9000	-10.3000	-6.9000	-0.2000	8.3000	16.0000	21.2000	22.5000	21.0000	15.2000	7.4000	-2.0000	-8.4000	1	2	5	8	16	29	49	46	18	6	3	1	184	20	0	7	0	0	7	8	2	4	2	1	0	42	43	1	1	0	0	0	501.82699584961	484.00000000000	1	3	3.0245	136.3800	32.4581	156.9430	-0.1362	90.43880000000
44	103.6752	43.6575	2281	2420	-23.0000	-20.1000	-13.4000	-5.1000	2.7000	8.6000	10.7000	9.2000	2.8000	-5.4000	-14.4000	-20.7000	-9.9000	-6.6000	0.2000	8.7000	16.4000	21.7000	22.9000	21.4000	15.6000	7.8000	-1.6000	-8.1000	1	2	5	8	16	28	47	45	18	6	3	1	180	24	0	11	0	0	10	12	1	6	1	0	0	43	44	1	1	0	0	0	387.35800170898	353.00000000000	1	3	3.2795	152.2270	29.6199	130.2900	-0.9963	71.63200000000
45	103.7774	43.6345	2516	2770	-23.7000	-21.0000	-14.5000	-6.3000	1.4000	7.3000	9.5000	8.0000	1.7000	-6.4000	-15.3000	-21.4000	-10.8000	-7.7000	-1.1000	7.2000	14.9000	20.1000	21.5000	20.0000	14.2000	6.4000	-2.8000	-9.0000	1	2	5	9	18	32	54	50	20	6	3	2	202	23	1	9	1	0	10	13	2	4	1	0	0	44	45	1	1	0	0	0	378.34698486328	484.00000000000	1	3	3.5120	22.8676	14.7449	82.7939	0.8968	67.34720000000
46	103.7772	43.6334	2516	2766	-23.7000	-21.0000	-14.5000	-6.3000	1.4000	7.3000	9.5000	8.0000	1.7000	-6.4000	-15.3000	-21.4000	-10.8000	-7.7000	-1.1000	7.2000	14.9000	20.1000	21.5000	20.0000	14.2000	6.4000	-2.8000	-9.0000	1	2	5	9	18	32	54	50	20	6	3	2	202	20	0	9	0	0	8	11	3	4	1	0	0	45	46	1	1	0	0	0	378.34698486328	484.00000000000	1	3	8.5511	185.3810	14.7449	82.7939	0.8968	67.34720000000
47	103.1300	43.5100	1493	1527	-20.4000	-17.4000	-9.8000	-1.1000	6.8000	12.6000	14.8000	13.2000	6.5000	-2.0000	-11.2000	-18.0000	-6.8000	-2.9000	4.7000	13.8000	21.7000	26.8000	28.1000	26.4000	20.5000	12.2000	2.0000	-5.1000	1	1	3	5	10	17	27	28	11	4	2	1	110	25	0	10	0	0	11	9	1	7	1	1	0	46	47	1	1	0	0	0	374.82800292969	306.00000000000	1	3	1.4380	14.5345	14.0398	14.9536	0.6848	64.10800000000
48	103.1300	43.5100	1493	1527	-20.4000	-17.4000	-9.8000	-1.1000	6.8000	12.6000	14.8000	13.2000	6.5000	-2.0000	-11.2000	-18.0000	-6.8000	-2.9000	4.7000	13.8000	21.7000	26.8000	28.1000	26.4000	20.5000	12.2000	2.0000	-5.1000	1	1	3	5	10	17	27	28	11	4	2	1	110	23	0	11	0	0	11	8	1	5	2	1	0	47	48	1	1	0	0	0	374.82800292969	306.00000000000	1	3	1.4380	14.5345	14.0398	14.9536	0.6848	64.10800000000
49	103.1300	43.5100	1493	1527	-20.4000	-17.4000	-9.8000	-1.1000	6.8000	12.6000	14.8000	13.2000	6.5000	-2.0000	-11.2000	-18.0000	-6.8000	-2.9000	4.7000	13.8000	21.7000	26.8000	28.1000	26.4000	20.5000	12.2000	2.0000	-5.1000	1	1	3	5	10	17	27	28	11	4	2	1	110	27	0	9	0	0	11	10	1	5	3	2	0	48	49	1	1	0	0	0	374.82800292969	306.00000000000	1	3	1.4380	14.5345	14.0398	14.9536	0.6848	64.10800000000
50	103.3100	43.4600	1497	1521	-20.5000	-17.4000	-9.7000	-1.0000	6.8000	12.6000	14.9000	13.2000	6.6000	-2.0000	-11.2000	-18.1000	-6.8000	-2.9000	4.6000	13.9000	21.7000	26.7000	28.1000	26.4000	20.5000	12.2000	2.0000	-5.2000	1	1	3	5	10	17	27	29	11	4	2	1	111	24	1	11	1	0	12	12	2	4	2	0	0	49	50	1	1	0	0	0	282.23599243164	276.00000000000	1	3	0.6136	37.0304	7.2295	27.4744	0.7173	51.86010000000
51	103.4700	43.3800	1571	1617	-20.7000	-17.5000	-9.9000	-1.2000	6.5000	12.3000	14.6000	13.0000	6.4000	-2.1000	-11.3000	-18.2000	-7.1000	-3.2000	4.3000	13.5000	21.2000	26.3000	27.6000	26.0000	20.1000	11.9000	1.8000	-5.3000	1	2	3	6	10	18	28	30	11	4	2	1	116	31	3	13	3	0	12	16	3	4	1	0	0	50	51	1	1	0	0	0	208.15800476074	197.00000000000	1	3	1.8466	84.6608	19.1540	102.4750	0.9312	38.86000000000
