ID	GRIDCODE	SPECIES	ALTITUDE	TEST	MAX4	MAX3	vegindmin	vegindmax	vegindrange	vegindmean	vegindstd	pca1min	pca1max	pca1range	pca1mean	pca1std	pca2min	pca2max	pca2range	pca2mean	pca2std	pca3min	pca3max	pca3range	pca3mean	pca3std	tc1min	tc2min	tc1range	tc1mean	tc1std	tc2min	tc2max	tc2range	tc2mean	tc2std	tc3min	tc3max	tc3range	tc3mean	tc3std	ndvimin	ndvimax	ndvirange	ndvimean	ndvistd	irmin	irmax	irrange	irmean	irstd	srtmmin	srtmmax	srtmrange	srtmmean	srtmstd
12	1200	48	100	14	87	19	38	68	30	53.025	8.07306	116.487	152.169	35.6813	133.172	9.21543	-57.8788	-43.0261	14.8527	-51.0295	3.84344	67.2251	86.7038	19.4787	77.5015	5.08065	85	120	35	101.075	8.99552	10	32	22	21	5.74021	0	9	9	3.975	2.60276	0.573333	0.678161	0.104828	0.62518	0.0244652	3.6875	5.21429	1.52679	4.35868	0.350469	1272	13	1267	4.94975	4.94975
14	1400	50	101	15	90	19	43	69	26	54.925	6.64224	120.445	148.353	27.9078	134.136	6.70054	-60.3225	-45.7601	14.5624	-51.9024	3.54516	66.4514	81.2442	14.7928	74.4534	3.60928	90	117	27	103.225	6.65766	14	33	19	22.5	4.77493	3	11	8	5.775	1.9556	0.547619	0.657143	0.109524	0.616403	0.0239261	3.42105	4.83333	1.41228	4.23368	0.319879	1518	8	1513	3.55903	16.171
13	1300	50	101	16	85	19	37	68	31	53.975	9.03739	114.698	145.72	31.0218	131.186	9.42373	-58.6787	-43.0702	15.6085	-51.8875	4.14428	68.6314	85.8647	17.2333	76.2759	5.18948	84	114	30	99.925	9.09777	10	32	22	21.825	6.21244	0	10	10	5.475	2.39779	0.552239	0.693878	0.141639	0.632709	0.0343281	3.46667	5.53333	2.06667	4.49143	0.49697	1379	24	1369.25	8.84237	8.95824
15	1500	49	97	17	86	19	50	73	23	64.725	5.94133	125.364	150.292	24.9277	141.507	6.03715	-59.5158	-47.5933	11.9225	-55.4278	2.85356	61.4758	75.4336	13.9578	66.7498	3.28258	95	120	25	110.55	5.92009	20	36	16	29.825	3.97421	-1	7	8	3.45	1.92289	0.609756	0.705882	0.0961263	0.669733	0.0251636	4.125	5.8	1.675	5.08982	0.449214	1647	9	1642.5	3.3541	3.55903
16	1600	54	125	18	94	19	37	68	31	52.9744	8.37116	112.432	143.455	31.0223	129.279	8.92315	-59.6568	-44.0124	15.6444	-51.3826	3.86108	65.5625	85.6801	20.1176	74.533	4.95886	83	113	30	99.1538	8.77508	9	32	23	21.5641	5.7548	2	12	10	6.38462	2.30513	0.552239	0.666667	0.114428	0.617881	0.0291377	3.46667	5	1.53333	4.26383	0.393104	1735	29	1722.2	9.64158	5.73488
17	1700	51	100	19	90	20	40	70	30	52.75	8.65953	115.064	145.077	30.0133	128.511	8.60077	-58.6333	-42.9221	15.7112	-50.5714	4.35838	64.225	80.7147	16.4897	73.1014	5.13796	85	115	30	98.675	8.56559	13	33	20	21.625	6.05676	1	10	9	5.5	2.30217	0.571429	0.7	0.128571	0.621353	0.0293896	3.66667	5.66667	2	4.31472	0.424675	1838	21	1829.67	9.10433	6.68954
18	1800	51	104	20	96	20	43	76	33	52.725	5.73144	119.432	149.251	29.819	129.551	5.58964	-62.2046	-44.7326	17.472	-49.8999	3.13575	59.2152	77.9167	18.7015	72.4894	3.28057	90	120	30	99.775	5.56546	14	38	24	21.475	4.1892	1	9	8	4.95	1.84323	0.564103	0.678571	0.114469	0.619669	0.0248725	3.58824	5.22222	1.63399	4.28167	0.354445	1849	5	1847.25	1.92029	8.01561
19	1900	54	104	21	97	19	29	73	44	57.4103	8.7902	106.325	145.609	39.284	131.903	8.32347	-60.6145	-38.6504	21.9641	-52.7228	4.45995	61.3572	83.8043	22.4471	69.329	4.64496	78	116	38	102.59	8.03428	5	36	31	25.1026	6.27079	3	11	8	5.97436	1.52731	0.491525	0.692308	0.200782	0.634633	0.0377602	2.93333	5.5	2.56667	4.52581	0.508524	1926	12	1919.5	4.7697	2.94746
20	2000	49	107	22	100	20	55	78	23	63.7949	5.67577	126.96	146.184	19.2242	134.968	5.23657	-65.556	-51.5722	13.9838	-56.8397	3.13821	59.1039	71.9328	12.8289	66.4596	3.20405	98	118	20	106.59	5.26585	23	40	17	29.5128	4.21153	7	12	5	9.58974	1.39077	0.61165	0.692308	0.0806572	0.655122	0.0215496	4.15	5.5	1.35	4.82175	0.362304	2023	16	2015.25	7.75806	4.7697
21	2100	51	116	23	102	17	40	78	38	63.3	10.8448	115.939	150.191	34.2516	135.222	10.4147	-63.7928	-44.6387	19.1541	-56.711	5.33648	58.7677	77.863	19.0953	66.7116	5.92975	87	121	34	106.325	10.4053	14	40	26	29.55	7.5065	3	12	9	8.25	2.07063	0.571429	0.705882	0.134454	0.651817	0.0306582	3.66667	5.8	2.13333	4.78638	0.482278	2145	41	2130.25	16.5888	7.75806
22	2200	53	106	24	90	18	4	81	77	46.85	24.3614	73.5491	152.606	79.0569	116.596	24.2842	-66.0614	-26.3526	39.7088	-47.8259	12.3368	54.4799	96.9731	42.4932	73.5243	12.7879	47	125	78	89.1	23.6409	-13	42	55	17.925	17.3182	4	13	9	7.925	1.97974	0.153846	0.72973	0.575884	0.562678	0.144042	1.36364	6.4	5.03636	3.99079	1.31367	2300	62	2268.25	23.9204	16.5888
23	2300	46	93	25	83	23	-3	85	88	41.1538	23.5563	64.2482	157.282	93.0342	110.578	25.0692	-65.5457	-23.7675	41.7782	-44.8052	11.2147	48.9327	99.6246	50.6919	76.3469	12.9121	38	128	90	82.8974	24.1691	-17	46	63	14.1282	16.6135	-1	11	12	6.38462	2.5682	-0.2	0.714286	0.914286	0.532534	0.198459	0.666667	6	5.33333	3.82934	1.39479	2275	30	2258	12.5698	23.9204
24	2400	43	79	26	88	20	23	73	50	40.25	11.8759	92.1097	143.336	51.2259	109.901	11.3396	-63.2038	-36.5831	26.6207	-45.0242	6.48182	61.1717	85.7508	24.5791	77.3469	5.83833	65	115	50	82.375	11.0943	2	37	35	13.575	8.38716	3	11	8	7.6	2.07123	0.469388	0.682243	0.212855	0.578493	0.0497362	2.76923	5.29412	2.52489	3.81351	0.587687	2402	58	2378.25	24.8835	14.1841
25	2500	41	79	27	97	16	38	68	30	52.6923	8.45244	109.446	136.873	27.4278	123.998	6.50657	-63.9633	-38.643	25.3204	-52.0236	5.70097	64.8086	79.3035	14.4948	71.4526	3.77479	80	107	27	95.7436	6.43595	13	34	21	22.6154	6.08746	-5	17	22	7.87179	4.00755	0.482353	0.693878	0.211525	0.619633	0.0535192	2.86364	5.53333	2.6697	4.35605	0.704243	2643	24	2632	9.24662	18.1435
26	2600	44	84	28	113	21	27	72	45	48.6757	8.29215	109.017	138.242	29.2247	121.003	6.82762	-61.8603	-33.275	28.5853	-49.0047	5.41506	61.0262	78.8903	17.8641	72.1633	3.89787	81	110	29	92.7568	6.77996	4	36	32	19.7568	5.86978	-6	11	17	5.83784	3.59815	0.442623	0.692308	0.249685	0.606023	0.050072	2.58824	5.5	2.91176	4.15138	0.599646	2719	4	2717	1.58114	9.24662
